Sample Name,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_B,NegMSMSALL-CAS9_B,NegMSMSALL-CAV_A,NegMSMSALL-CAV_A,NegMSMSALL-CAV_B,NegMSMSALL-CAV_B,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_B,NegMSMSALL-CAVIN_B,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_B,NegMSMSALL-CERS5_B,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_B,NegMSMSALL-Flot2_B,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_B,NegMSMSALL-SPTLC_B,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_B,NegMSMSALL-UGCG_B,NegMSMSALL-WT_A,NegMSMSALL-WT_A,NegMSMSALL-WT_B,NegMSMSALL-WT_B
CerPE 38:2;2 (CerPE),21.3616,0,0,0,0,0,0,0,24.0955,0,0,28.8295,0,0,34.1221,29,24.4148,18.5754,11.5323,14.1553,29.623,26.2019,45.1213,28.9026,29.2425,35,0,0,0,0,0,0,0,0,0,0,31.3882,0,52,31.3882
CerPE 38:1;2 (CerPE),7.4428,21.6672,34.4588,17.743,0,0,15.9482,4.634,1.9469,0,0,22.5048,18.0045,31.889,15.714,0,37.5403,22.8826,43.7668,46.9472,32.248,18.0886,0,4.5103,44.815,0,37.1366,4.2536,0,7.6867,6.4114,3.1006,4.3282,0,12.0136,1.7559,39.3686,22.0343,12.5836,26.7714
CerPE 38:0;2 (CerPE),8.9772,0,0,23.7877,13.7567,28.4937,0,0,0,0,0,0,47.9253,0,3.6658,0,0,30.5401,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6821,2.2727,69.5505,11.4474,0,0,0,0,0
CerPE 40:2;2 (CerPE),89.8231,102.9923,83.5497,92.5955,43.8902,63.878,107.1878,69.4995,106.7238,129.7078,80.4568,77.5393,142.3941,50.3568,134.0173,133.7539,71.2103,111.3995,114.1313,143.673,119.5956,70.3983,159.4233,140.2752,108.8155,158.0834,79.6847,98.9518,29.5655,31.9054,33.4196,36.4266,65.4188,37.362,53.936,23.1341,158.0083,96.5591,156.5096,137.0804
CerPE 40:1;2 (CerPE),116.3053,8.5052,0,0,31.2542,0,125.9976,33.9201,0,0,55.3828,7.323,0,24.8673,80.2759,0,0,29.1057,0,0,31.5377,0,0,5.1449,11.008,47.4779,110.9647,55.4357,1.4929,0,13.1085,0,137.4649,35.9314,30.5897,0,30.8152,451.9735,0,0
CerPE 38:1;4 (CerPE),42.9275,13.0777,57.8254,0,46.3722,17.5975,6.2806,50.8891,23.2962,86.5575,22.0239,36.6362,11.7996,45.8515,84.8246,42.2745,34.0269,0,0,53.0082,0,9.2878,64.6351,15.7816,8.1985,31.1297,44.5126,24.5224,25.0984,17.015,0,22.9519,74.9428,4.266,18.7083,33.865,48.9454,0,125.1309,36.6126
CerPE 42:2;2 (CerPE),11.6199,12.2074,10.3578,33.2572,23.5514,13.4694,0,6.5522,0,28.3155,10.9242,11.7915,13.272,19.1504,7.6017,5.2272,0,34.0205,0,7.8476,19.3377,46.7367,5.8011,11.29,14.2916,35.988,15.1523,38.8918,8.4759,0,1.6301,19.5635,8.0338,14.1348,0,22.4331,17.202,17.3582,13.5324,34.5253
CerPE 42:1;2 (CerPE),5.3405,8.4672,11.0338,13.9317,19.93,6.1463,0,10.7592,7.9663,24.427,0.8622,0,33.6794,0,11.7233,39.3926,18.8515,0,0,21.8375,6.625,0,39.0125,24.6751,4.0148,0,0,8.9932,0,23.8517,29.0259,0,8.8354,0,0,0,16.7257,24.053,4.4092,11.7863
CerPE 42:0;2 (CerPE),28.2384,28.9712,7.6357,31.5504,8.4026,0,9.9968,12.9555,12.5929,0,4.4498,7.6568,1.8017,0,0,8.9779,12.0091,14.0865,19.6198,7.268,0,18.9618,2.2988,6.3313,18.3525,1.2064,0,5.9574,0,21.5481,10.5491,22.5341,8.1973,17.5867,0,0,0,45.7918,0,0
CerPE 40:1;4 (CerPE),57.7556,33.9016,22.6992,0,0,0,0,0.0587,7.4709,0,0,0.209,0,21.9838,0,10.4277,0,2.1134,0,0,0,0,0,0,0,0,10.9616,0,0,0,0,10.6448,0,0,0,21.7572,0,39.5839,1.4362,16.4155
CerPE 44:2;2 (CerPE),4.5692,0,10.3887,0,0,0,0,13.7261,8.2928,17.1877,20.2119,14.0385,16.1507,16.0965,8.5522,0,14.584,0,18.4007,0,6.1235,10.9587,0,0,2.0177,0,17.0341,7.6212,0,0,0,0,0,0,0,0,0,16.9426,9.6274,15.9461
CerPE 44:1;2 (CerPE),16.4697,0,13.6421,0,0,6.1485,0,11.2134,3.4626,0,6.3477,0,0,8.8214,0,18.6798,0,0,10.0904,35.8214,0,8.6487,32.3966,9.414,0,7.3638,0,0,0,0,1.8394,0,0,0,0,0,0,0,0,0
CerPE 42:1;4 (CerPE),6.69,2.9324,0,0,0,0,11.1017,13.0595,21.2616,12.6925,16.0903,9.6921,0,5.9463,4.6043,0,16.9956,23.2338,0,27.3019,13.1633,1.7266,24.5721,0,0,0,21.7815,33.1539,0,10.4198,0,0,6.8074,0,5.3756,4.0234,0,0,18.9784,5.7817
CerPE 42:0;4 (CerPE),4.1552,20.5537,15.1213,6.2373,0,0,0,7.8519,0,10.6523,3.8992,2.553,2.8302,5.4742,4.4823,0,0,8.7771,18.2092,4.8828,0,0,0,0,23.3673,3.4711,9.1108,2.7563,0,14.6213,0,9.9764,0,0,0,5.2526,12.1882,0,0,0
CerPE 36:2;3 (CerPE),0,25.1363,5.111,0,0,0,0,0,1.2782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5449,0,0,0
