Sample Name,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_B,NegMSMSALL-CAS9_B,NegMSMSALL-CAV_A,NegMSMSALL-CAV_A,NegMSMSALL-CAV_B,NegMSMSALL-CAV_B,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_B,NegMSMSALL-CAVIN_B,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_B,NegMSMSALL-CERS5_B,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_B,NegMSMSALL-Flot2_B,NegMSMSALL-RAJU-Blank,NegMSMSALL-RAJU-Blank,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_B,NegMSMSALL-SPTLC_B,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_B,NegMSMSALL-UGCG_B,NegMSMSALL-WT_A,NegMSMSALL-WT_A,NegMSMSALL-WT_B,NegMSMSALL-WT_B
"OAHFA_18:2/ 18:2 (18:2 FA,FA 18:2)",40.7884,34.6712,57.6227,71.8913,40.1827,17.7238,76.0622,42.1581,33.4072,28.7798,0,0,0,0,78.9077,71.5356,46.6544,35.6012,51.7179,67,0,0,0,0,0,0,0,0,0,0,638.8353,600.3967,0,0,94.238,110.8531,82.2191,79.6042,0,0,32,0
"OAHFA_18:1/ 18:2 (FA 18:2,18:2 FA)",60.4218,66.069,119.9551,102.0891,19.6725,22.7524,75.7234,58.5787,0,0,0,0,0,0,102.3444,69.9424,39.9095,18.6351,14.73,4.153,0,0,0,0,0,0,0,0,0,0,2144.3709,1844.1737,846.7309,684.9994,63.17,50.5069,73.8671,119.2169,0,0,0,0
OAHFA_16:1/ 20:2 (16:1 FA),69.2349,83.9366,75.6856,59.9273,14.8922,1.8431,29.006,39.528,0,0,0,0,0,0,10.9142,33.9796,10.2503,28.0781,31.5029,35.2903,0,0,0,0,0,0,0,0,0,0,0,34.9034,16.5985,20.7258,14.448,34.8989,44.3064,21.8712,0,0,0,0
"OAHFA_18:2/ 18:1 (18:1 FA,FA 18:1)",302.2113,349.7478,407.4071,460.4756,181.3513,232.4485,930.2708,726.3458,0,0,0,0,0,0,776.9406,607.2949,419.0467,331.4535,325.6118,270.5616,0,0,0,0,0,0,0,0,0,0,1529.5227,1243.3895,888.0579,802.7156,991.3761,815.6109,702.7386,777.5857,0,0,0,0
OAHFA_16:0/ 20:1 (FA 20:1),67,35,91,69,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,12,0,0,0,0,144,111,0
OAHFA_16:0/ 20:1 (16:0 FA),165.6161,183.625,203.292,128.5045,0,0,250.3652,155.2825,0,0,0,0,0,0,162.7889,183.0095,0,0,0,0,0,0,101.6886,0,0,0,0,0,0,0,286.6353,287.6224,243.1245,239.9152,71.0721,171.9711,247.6242,200.7962,106.0695,50.3912,87.2706,104.8976
OAHFA_18:0/ 18:1 (18:0 FA),227.179,251.7055,304.0214,338.9304,0,0,615.4998,410.0809,0,0,0,0,0,0,386.5088,330.3899,0,0,0,0,0,0,98.2935,0,0,0,0,0,0,0,913.6316,691.1438,649.3117,633.537,108.995,391.3095,318.0567,246.6805,186.4431,74.6305,88.1015,63.4413
OAHFA_18:2/ 20:2 (18:2 FA),26.4548,46.4938,59.0608,27.6641,17.9743,0,46.9596,52.4156,0,0,0,0,0,0,39.1516,38.6957,24.6762,0,8.8964,35.672,0,0,0,0,0,0,0,0,0,0,184.883,170.7321,100.9567,110.3262,60.865,67.5833,38.3672,33.8893,0,0,0,0
OAHFA_16:0/ 30:2 (16:0 FA),159.4897,85.888,53.7871,35.3763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6373,0,0,0,0,0,62.6219,0,0,0,0,0,0,0
OAHFA_16:1/ 30:1 (16:1 FA),14.3127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5884,0,0,0,0,0,0,0,0,0,0,0
