Sample Name,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_B,NegMSMSALL-CAS9_B,NegMSMSALL-CAV_A,NegMSMSALL-CAV_A,NegMSMSALL-CAV_B,NegMSMSALL-CAV_B,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_B,NegMSMSALL-CAVIN_B,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_B,NegMSMSALL-CERS5_B,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_B,NegMSMSALL-Flot2_B,NegMSMSALL-RAJU-Blank,NegMSMSALL-RAJU-Blank,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_B,NegMSMSALL-SPTLC_B,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_B,NegMSMSALL-UGCG_B,NegMSMSALL-WT_A,NegMSMSALL-WT_A,NegMSMSALL-WT_B,NegMSMSALL-WT_B
LPA O-24:4 (FA 12:2),27,39,23,0,0,0,50,56,0,0,0,0,0,0,35,45,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,45,71,0,0,0,0,0
LPA O-28:0 (FA 14:0),24.3858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,36.9241,15,0,0,54.7994,26.7347,26.9358,31.9247,0,0,0,29,0,20.7901,0,0
PA 28:2 (FA 12:2),21.7927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
PA 28:2 (FA 16:1),53.2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA 28:2 (FA 16:0),219.8343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.4586
PA 28:2 (PA),74,57,67,49,79,121,57,49,61,99.9957,62,70,51.3593,64,59,0,91,69,59,59,63.9792,25,62,82,75.9982,62,84,76,0,0,67.727,89,71,91,35,79,86,55,63.996,40,57,42
PA O-30:2 (FA 18:1),219.3495,148.8592,0,0,0,0,72.3753,65.4602,0,0,0,0,0,0,114.5526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.9706,0,94.6599,83.1113,0,0,0,0
PA O-30:1 (FA 12:1),43.5902,0,55.8102,23.9984,0,0,73.7893,0,0,0,0,0,0,0,66.7523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.1986,58.9735,0,54.8501,0,0,0,22
PA O-30:1 (FA 14:0),18.8551,0,0,0,0,0,0,0,0,19.2707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.176,0,0,0,0,0
PA O-30:1 (FA 18:0),74.6042,31.411,27.8157,56.1786,0,0,82.6003,70.1702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.4376,66.4874,71.2603,0,0,26.7366,14.784
PA O-30:0 (FA 12:0),34,55,11.6912,0,0,0,0,0,0,0,19.015,20.6011,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.165,0,0,0,0
PA O-30:0 (FA 14:0),16.542,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3331,0,0,0,0,0
LPA 30:0 (FA 15:0),23.8444,8.4115,0,0,0,0,0,0,0,0,21.8357,0,0,0,0,19.4689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA O-30:0 (FA 18:0),102.1619,0,88.9556,0,0,109.6628,0,309.3447,56.3198,0,40.0282,0,0,0,273.5063,188.5043,0,0,0,0,0,0,25.235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA 36:2 (FA 18:1),2011.0803,1737.417,0,0,0,993.1244,894.5641,700.0056,1827.3953,1706.2519,1446.1296,0,0,0,1311.2134,1057.9535,0,1384.1594,1916.5849,1797.6604,0,1635.2187,0,0,0,0,0,0,290.0443,249.631,0,0,0,0,631.3543,0,0,0,0,0,1963.4956,0
PA 36:2 (PA),91.07,66.1368,0,0,0,71.586,61.735,42.4699,106.1839,42.5513,65.1407,73.07,0,0,57.0687,39.4018,0,57.0493,81.2175,53.2036,112.3517,82.7369,0,58.2042,0,51.8758,0,0,54,33,0,0,0,0,19.735,0,0,0,138.0179,58.1375,100.9154,110.538
PA 36:1 (PA),15.5267,4.5832,23.181,27.8615,29.0681,27.5176,24.8562,34.3938,18.3259,13.9496,18.283,7.0043,14.3496,0,17.6649,0,4.1725,14.2999,19.322,16.4311,24.9925,67.7343,43.8113,48.8377,14.9806,1.7732,15.6553,31.0468,0,19.6014,14.7234,0,0,0,18.4821,0,11.306,0,0.2123,0,0,1.6508
PA O-38:5 (FA 18:1),129.9009,98.6019,0,0,0,0,0,0,0,0,0,0,0,0,153.7652,103.6822,0,0,0,0,0,0,0,82.3299,0,0,0,0,0,0,0,0,0,0,40.8851,24.5912,115.6607,0,0,0,111.0819,72.535
