Sample Name,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_B,NegMSMSALL-CAS9_B,NegMSMSALL-CAV_A,NegMSMSALL-CAV_A,NegMSMSALL-CAV_B,NegMSMSALL-CAV_B,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_B,NegMSMSALL-CAVIN_B,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_B,NegMSMSALL-CERS5_B,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_B,NegMSMSALL-Flot2_B,NegMSMSALL-RAJU-Blank,NegMSMSALL-RAJU-Blank,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_B,NegMSMSALL-SPTLC_B,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_B,NegMSMSALL-UGCG_B,NegMSMSALL-WT_A,NegMSMSALL-WT_A,NegMSMSALL-WT_B,NegMSMSALL-WT_B
LPC 20:5+HCOO (LPC pe),34.9947,0,0,27.68,0,0,21.9947,32.6987,0,0,0,0,0,0,21.9938,0,0,0,0,0,0,0,23.73,0,0,0,0,0,0,0,0,0,0,0,28.993,46.993,34.7348,29.7584,0,0,0,0
LPC 20:4+HCOO (LPC pe),59,57,77,49,103,118,49,65,86,83,77,81,104,108,59,0,111,84,88,74,82,91,81,81,71,103,101,94,0,0,93.3321,128,84,91,45,79,75,74,54,40,89,69
LPC 20:4+HCOO (LPC pe),270.707,255.5043,327.9551,295.4466,450.7238,518.0009,288.6451,320.5418,396.529,409.2884,295.2241,393.5139,369.0012,301.7648,298.6455,41.985,287.9856,292.6523,308.2063,291.0983,339.0556,379.4653,258.9531,265.6681,360.3891,348.6044,314.1486,387.14,0,0,446.3019,459.3494,366.4255,422.1008,128.9868,310.1493,268.7729,299.6667,304.2656,220.8723,240.8463,280.5056
PC 28:6+HCOO (LPC pe),125,74,0,0,108,111,83,91,155,0,155.654,126,0,0,375.0754,387.7923,0,0,0,0,0,0,139.6281,0,0,89,0,0,0,0,101.654,77,121,86,77,94,67,82,0,0,0,203
LPC O-30:5+HCOO (LPC pe),1.6755,3.0708,0,0,0,0,0,0,0,0,0,2.559,0,0,0,0,0,0,0,0,22.4124,0,0,1.1994,3.6452,0,0,32.3088,0,0,4.4394,1.2803,0,14.2389,4.9344,0,0,7.8988,0,0,0,0.0644
PC 28:0+HCOO (FA 14:0),53.7903,0,35.2562,14.3262,0,23.5471,32.9919,37.1036,33.7675,0,0,33.3827,26.5046,17.1023,0,0,52.0026,0,0,0,34.3987,31.4468,41.8417,32.7955,53.0906,0,58.3896,42.6804,0,0,0,25.9532,44.2807,28.0219,0,0,25.2815,27.0674,36.463,64.5998,0,41.2502
PC 28:0+HCOO (LPC pe),30.4464,34,26.0022,33,24.4314,53,25.4049,35,47,26.8177,47.8561,38.7812,34.6457,26.7443,7.0495,15.0493,28.0032,22.337,46.5217,20.2833,32.4851,42.9635,27.2034,34.1159,54,0,21.2995,37,0,0,54,35,28,30,45,44,42,32,43.7426,30,0,0
LPC 30:6+HCOO (LPC pe),67.2512,66.0804,69.5057,75.6074,35.9011,31.0664,35.3529,41.5533,47.2287,51.8419,52.9588,57.3318,61.7014,71.2613,84.8964,64.695,43.4513,87.9109,41.3985,59.132,82.5916,76.1514,17.1817,72.0543,26.5394,41.2982,44.043,37.4992,0,0,35.5394,14.5533,41.2426,33.1885,1.2828,0,53.864,32.1345,38.302,46.1885,89,44
PC O-30:5+HCOO (FA 10:0),32,0,0,0,35,25,0,0,25,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC O-30:5+HCOO (LPC pe),2.9567,0,0,0,0,0,0,0,0,0,6.3874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9119,0,0,0,0,0,0,0,0,0,0,0,0,0,0
