Sample Name,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_B,NegMSMSALL-CAS9_B,NegMSMSALL-CAV_A,NegMSMSALL-CAV_A,NegMSMSALL-CAV_B,NegMSMSALL-CAV_B,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_B,NegMSMSALL-CAVIN_B,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_B,NegMSMSALL-CERS5_B,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_B,NegMSMSALL-Flot2_B,NegMSMSALL-RAJU-Blank,NegMSMSALL-RAJU-Blank,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_B,NegMSMSALL-SPTLC_B,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_B,NegMSMSALL-UGCG_B,NegMSMSALL-WT_A,NegMSMSALL-WT_A,NegMSMSALL-WT_B,NegMSMSALL-WT_B
Group,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1
DMPE O-20:7 (DMPE),123,120,196,197.1469,0,0,86,125.525,0,0,0,0,0,0,71,112.525,94,71,0,0,0,0,78,69,0,0,0,0,0,0,0,0,0,0,77.587,74,88,104,0,0,0,0
DMPE 20:6 (DMPE),40,47,54,34,0,0,0,0,42,49,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,40.1513,0,0,0,0,62,52,50,86,37,0,0,0,0,0,0,0
DMPE 20:5 (DMPE),3.0207,2.9403,4.4458,0,0,0,0,19.3026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.8117,4.2711,8.8832,0,0,0.0496,0,0,0,0,0,0
DMPE 22:7 (DMPE),49,66,40,72,56.3527,83.371,76.2329,83.9709,70.3904,89,93,86.3904,0,74.5856,47,84.9845,82,74,74,54,0,0,77,0,0,65.4401,79,59,0,0,86.5856,143,109,121,42,93,89,65.6986,55,33.6986,66,72
LDMPE 24:3 (DMPE),34.9952,0,0,27.6979,0,0,21.9952,32.7196,0,0,0,0,0,0,21.9944,0,0,0,0,0,0,0,23.7455,0,0,0,0,0,0,0,0,0,0,0,28.9937,46.9937,34.7533,29.7718,0,0,0,0
PE 34:9 (PE),15.7148,0,0,0,0,13.6707,0,0,0,0,8.9538,0,0,0,19.52,0,0,3.2068,1.6385,5.773,0,0,0,3.1164,0,5.5803,0,0,0,0,0,0,0,0,0,0,0,0,19.9678,0,0,3.6244
PE O-34:2 (FA 16:1),170.4464,250.7173,214.9208,217.3238,358.2293,313.0873,362.0149,227.5824,424.2481,448.0688,449.8661,398.8085,533.4149,352.4447,533.3001,472.1439,877.7945,746.1197,1016.9199,1214.1744,0,708.3601,850.5842,756.5748,670.6686,640.2128,622.3414,524.8848,0,14.3807,68.159,107.6819,104.0475,129.1183,187.0533,113.3967,161.9996,100.1345,511.5543,452.4818,200.7691,420.5122
PE O-34:2 (FA 17:1),83.9383,62.1449,50.1449,49,0,32.3399,17,40,0,0,103,77,84.1449,87,113,140.3399,151.9249,112.1324,163.9277,166.9249,167,0,150,174,0,91,83,112.8962,0,0,31.9609,49,57,37,57,35,29,0,172.9963,139.9374,92,122
PE O-34:2 (FA 18:1),22253.3405,0,18214.803,18306.4983,10506.4023,10080.7214,8550.4841,0,20069.3679,21155.9506,15861.7583,16192.9557,12668.9874,0,18352.43,13407.3452,0,24018.3614,0,28925.1345,24465.8375,26071.2974,0,28118.4061,23103.4695,22808.8077,20547.9843,19120.9624,0,302.8372,0,3175.5599,3533.3479,3746.5817,9113.7946,0,0,7506.3432,41832.148,35087.5903,20369.0204,0
PE O-34:2 (LPE e),251,131.2214,124.6868,202,101.8252,126.1937,105,87.1937,165.6868,178.9774,163.3101,190.7283,174.3899,159,194.6903,165.8213,215.93,241.4684,369.4339,346.1919,320.8113,318.0573,307.3598,280.2195,240.0256,231.1947,167.2629,168.3258,0,0,64,56,66,35,87,67,83,96,338.522,361.3974,202.2616,353.0496
PE O-34:2 (PE),347.072,340.2143,254.1855,324.9237,193.1325,218.2078,191.9538,167.5803,412.3856,457.0895,294.7254,316.4079,246.2069,210.1927,336.5783,286.7031,382.0737,388.7271,576.3821,508.2529,415.1231,399.0021,398.998,497.8022,377.4527,384.9558,353.0487,338.9392,0,0,81,66,51.253,87,180,118,123.3083,131,632.4826,552.3205,360.6389,590.6564
PE 34:3 (FA 14:0),60.8436,50.1348,32.8921,63.4367,0,62.8031,36.9612,43.6597,88.6045,94.9394,95.5769,100.9915,114.2283,113.9296,156.3849,169.6409,197.6756,196.7325,227.5225,261.1725,141.5043,150.4403,173.9409,159.8316,149.844,158.2153,0,157.2329,0,0,0,0,0,0,57.16,0,0,0,68.9159,0,74.9902,88.0646
PE 34:3 (FA 16:1),754.0311,660.6253,795.1597,842.3803,0,425.21,348.6106,365.2981,700.6226,672.2321,667.8236,624.4112,663.7191,711.7124,795.5984,576.1757,738.3335,746.6122,941.3236,1000.3735,883.1877,0,880.2424,900.473,782.3973,718.9139,0,668.2085,44.9991,52,283.5806,304.6177,0,447.3717,440.6128,518.6103,519.9752,443.7479,954.119,0,983.0893,737.2477
PE 34:3 (FA 16:0),91.5394,65.2597,90.9921,67.5604,0,91.2881,104.5109,27.6087,53.2561,0,0,64.1596,84.5935,14.7202,108.2449,86.4794,48.9681,77.6956,119.1147,143.9384,56.9734,59.3402,0,114.6825,69.0675,89.0316,0,101.6344,0,0,0,0,0,0,68.4739,0,0,0,53.6325,0,45.1389,0
PE 34:3 (FA 18:3),25,27,35,24,0,35,25,24,37,0,0,30,27,32,49,32.9374,32,47,57,42,38,37,0,37,21.9374,40.1449,0,39.9249,0,0,0,0,0,0,30,0,0,0,49,0,22,0
PE 34:3 (FA 18:2),837.4821,820.4209,796.6103,745.1008,0,534.9525,457.5226,297.7539,827.7964,721.0889,666.0287,697.464,698.844,693.3075,904.4912,781.5867,842.3204,870.821,1102.6229,1228.1847,1262.9481,1061.7872,1204.1907,1201.4306,1026.5918,872.9287,0,857.7331,43.1449,28,382.3761,361.485,0,382.2226,574.6028,585.5907,492.9802,484.524,1005.0154,0,1011.2013,944.5691
PE 34:3 (FA 20:3),48.7417,2.3875,0,2.8339,0,11.7095,0,0.9713,0,11.385,20.6237,13.8553,0,0,0,32.9669,8.2935,18.8114,14.0613,29.3088,0,0,14.0225,0.61,12.5936,0,0,0,0,0,0,0,0,0,1.5307,0,0,0,0,0,1.1201,3.4558
PE O-36:9 (LPE e),21.3737,0,0,0,0,0,0,0,24.1128,0,0,28.8518,0,0,34.1389,29,24.4259,18.6198,11.6124,14.2363,29.6234,26.2172,45.1349,28.9472,29.3219,35,0,0,0,0,0,0,0,0,0,0,0,0,31.3998,0,52,31.3998
PE O-36:9 (PE),32,0,0,0,0,0,23.4163,0,30.3237,0,26.4458,33.8711,0,0,32.4869,35.2428,24.1962,22.9154,28.3573,29.6238,36.4458,2.589,17.9636,25.3868,0,34.5484,0,0,0,0,0,0,0,0,0,0,0,0,44.3842,0,36.0765,47
DMPE 32:2 (FA 14:0),0,0,19.3363,14.9518,0,0,9.651,0,55.3152,14.3459,36.5683,36.4036,39.6021,44.7547,44.8928,48.294,62.6547,81.7643,88.4254,71.1535,54.4653,55.4712,38.3548,0,42.981,44.911,45.2042,30.0151,0,0,48.9937,31.5199,44.8557,45.8866,16.4363,0,38.5201,53.5012,49.1124,13.0519,15.7068,20.1519
PE 34:2 (FA 16:2),25,0,0,0,0,0,0,0,0,0,0,0,21.9984,0,17.6468,0,19.3713,0,0,11.4042,22,23,0,0,18.6468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PE 34:2 (FA 16:1),3858.737,3258.1981,3196.004,3449.1608,3586.9509,3410.2547,2864.5595,2794.7262,6624.4105,6364.24,5504.8779,5788.8881,4943.0507,4275.7228,6826.1786,6059.1741,6572.1005,6361.5573,9016.6177,8648.5357,7060.5673,6847.1464,7344.5595,7458.3244,5312.8864,4993.4124,4297.2019,4246.9357,88.2316,59.5822,1808.0746,1942.6246,2056.1859,2351.2651,1965.3676,1710.3322,1605.295,1376.3507,9360.5444,8769.4681,8556.766,8551.4123
PE 34:2 (FA 16:0),526.0408,445.9254,486.2808,458.2196,465.1458,520.1849,498.468,579.9413,569.8564,567.5498,460.3982,642.8438,559.5564,575.8746,951.323,658.0437,716.4067,675.8496,966.8791,885.8674,848.1281,672.9403,787.3183,927.1094,810.6626,652.9595,566.882,595.4715,0,0,355.8986,337.6015,423.3777,346.4722,454.9047,529.9748,486.1657,361.6239,591.979,557.6811,528.6905,486.2901
PE 34:2 (FA 17:1),66.9846,33.6355,44.0677,40.0341,33.5525,29.5573,0,16.035,67.1851,53.0619,42.1123,31.047,93.8879,58.5525,100.3802,85.5266,83.9771,84.9578,105.4743,132.5933,69.9334,87.115,123.0206,80.3833,115.5655,105.693,90.7092,72.8092,0,0,20.1098,15.731,42.7708,2.0512,26.9766,8.8799,31.7783,21.0412,64.4341,77.0803,80.4072,66.792
PE 34:2 (FA 18:2),1027.556,852.1762,1011.0574,890.1829,1214.1595,1328.8139,1189.0999,1167.4546,1409.5138,1441.4728,1200.3303,1234.4023,1211.3584,1153.1655,1722.3061,1434.9327,1500.0546,1587.9836,1965.6704,1962.8846,1855.6522,1644.2225,1738.3704,1660.3742,1569.7821,1316.6236,1202.117,1246.6541,0,0,812.4108,710.9554,789.1543,820.9457,1024.2128,964.8415,941.6291,906.0369,1105.359,1077.4379,1126.7227,1002.3289
PE 34:2 (FA 18:1),4819.3273,4323.6502,4006.4475,4234.102,3718.56,3343.6022,2954.8618,2634.6226,7502.9355,0,5921.2469,5939.5061,5260.7174,4710.4548,7469.9833,6452.842,8091.7619,8289.1317,11424.2201,10550.9622,8836.604,8372.0397,9122.0935,9781.8931,7155.7948,6785.9926,5465.2671,5766.4083,123.2988,72.9543,2073.6129,2196.5894,2595.9142,2438.6556,2436.2137,2204.4828,1844.8845,1831.7303,11140.6719,11063.5362,10439.3339,10616.6751
PE 34:2 (FA 18:0),41.1447,0,0,0,0,0,0,0,0,0,0,0,25.057,0,84.7325,0,0,0,0,49.4613,36.2906,36.7163,0,0,56.9703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PE 34:2 (LPE e),131.883,120,105,144.8472,112.7476,88.7309,82.8472,98.855,174.4312,217.8942,199,148.9479,130.654,136.8707,220.2644,231.0439,196.3167,150.3516,240.4791,274.0336,224.1641,179.3616,216.4015,223.4331,160.5159,165.9496,114.0211,167,0,0,66,69.8824,83.8903,78.6434,86,60.8824,53.8432,64,246.7162,204,202.1822,251.7162
PE 34:2 (PE),154.946,147.7824,139.8986,112.8802,153.8349,91.7337,120.732,104.8928,273.4583,236.2281,176.4807,182.9065,193.8986,169.8725,234.6446,209.5196,238.5483,240.2557,390.0611,300.623,271.7763,249.5889,258.361,274.7147,222.5767,187.6834,205.3656,149.3827,0,0,75.887,93.8783,81.8928,95.7032,93.9131,69.9055,71.9131,81.9334,310.0331,318.9044,296.898,304.8895
PE O-36:8 (LPE e),7.9329,22.1129,34.8488,18.2795,0,0,16.2545,4.9998,2.5953,0,0,23.0588,18.4894,32.3961,16.5324,0,38.2697,23.4407,44.6595,47.9645,33.0799,18.7552,0,5.3396,45.4106,0,37.5605,4.8738,0,0,0,7.9452,6.7219,3.3912,4.6476,13.5867,12.2121,1.9935,40.285,22.7919,13.3337,27.7064
PE O-36:8 (PE),11.2632,6.4497,13.1747,44.3262,0,54.7404,0,0,0,0,41.7906,32.8661,0,33.0708,0,0,19.5134,36.5189,21.4568,6.5946,0,0,0,41.3016,23.4646,49.5487,0,34.0254,0,0,8.2867,0.8219,0,0,2.8096,13.2921,0,0,30.8065,55.9645,24.9788,7.9223
PE 34:1 (FA 14:0),23.8599,22.5249,18.7614,22.274,23.942,14.3796,0,0,31.203,0,0,11.2838,0,0,30.3173,38.5714,52.9291,22.9267,64.1497,58.3764,60.8759,48.574,32.0603,40.606,44.9021,29.4685,0,46.6583,0,0,15.6376,20.464,15.3498,0,15.7823,0,19.0008,0,38.824,27.9929,22.832,0
PE 34:1 (FA 16:1),3126.0251,2755.7008,2962.8178,2626.7684,2420.252,2305.0513,2204.9976,2035.7905,2885.4503,2715.0934,2407.742,2199.7217,2302.9033,2121.137,3217.6262,2344.3626,3226.2052,3407.5769,4611.2489,4188.481,4226.9515,3969.7683,4306.6521,4428.3202,3900.3676,4029.4505,3630.1297,3289.7244,114.547,79.4108,927.6914,992.9599,999.1418,1061.5261,2226.2755,1043.1556,1716.3754,1667.2105,4222.7031,4447.1959,4020.325,4205.7036
