Sample Name,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_B,NegMSMSALL-CAS9_B,NegMSMSALL-CAV_A,NegMSMSALL-CAV_A,NegMSMSALL-CAV_B,NegMSMSALL-CAV_B,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_B,NegMSMSALL-CAVIN_B,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_B,NegMSMSALL-CERS5_B,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_B,NegMSMSALL-Flot2_B,NegMSMSALL-RAJU-Blank,NegMSMSALL-RAJU-Blank,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_B,NegMSMSALL-SPTLC_B,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_B,NegMSMSALL-UGCG_B,NegMSMSALL-WT_A,NegMSMSALL-WT_A,NegMSMSALL-WT_B,NegMSMSALL-WT_B
PIP2 28:3 (FA 12:2),34,61,0,0,0,0,61,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,34,41,74,0,0,0,0
PIP 34:5 (FA 14:0),99.809,100.9045,214.3242,0,0,0,6.7414,35.4589,0,0,0,0,0,0,32.2318,0,194.5705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.6186,93.3621,0,149.172,0,0,0,0
PIP2 28:3 (FA 16:1),56.4289,0,120.5886,102.495,0,0,23.163,6.9993,0,0,0,0,0,0,35.9243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0127,37.2185,55.632,51.6213,0,0,0,0
PIP 34:5 (FA 20:5),133.3238,100.7996,86.2863,82.2079,0,0,113.272,0,0,0,0,0,0,0,101.9186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.1372,82.3349,154.8001,116.0825,0,0,0,0
"PIP3 22:1 (PIP,PIP2,PIP3)",33.6471,25.242,0,0,0,0,26.9498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.9,0,0,0,0,0,0,0
PIP 38:7 (FA 18:2),27.2665,46.6519,85.6905,78.613,0,0,0,33.7426,0,0,0,0,0,0,18.4915,7.9756,45.1414,54.5529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0174,20.4596,65.597,54.0928,0,0,0,0
PIP 38:7 (FA 20:5),26.9097,21.8471,25.9775,26.9023,0,0,23.5729,19.8071,0,0,0,0,0,0,44.7177,32.5472,0,17.1857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.6896,0,0,43.5243,0,0,0,0
"PIP3 26:2 (PI,PIP,PIP2,PIP3)",68,66.9787,78.665,55.5975,0,0,27,34,0,0,0,0,0,0,0,22.765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,74,27,0,0,0,0,27
PIP 38:5 (FA 18:1),138.8242,293.4971,548.0303,613.2894,421.1008,456.5889,63.8182,111.1253,652.6654,689.5181,0,0,0,0,243.9275,292.8754,378.2477,433.0409,335.3557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.1284,144.2351,427.8133,381.4297,0,0,0,0
PIP 38:5 (FA 18:0),3610.4047,0,2435.031,2222.9882,0,1061.612,0,5282.0443,1306.7896,1262.1914,0,0,0,0,4844.9047,4700.4899,2191.3065,2345.001,2064.2276,1590.2357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3590.8544,4260.7428,4399.8743,4498.1297,0,0,0,0
PIP 38:5 (FA 20:5),853.7731,786.8373,224.1723,216.6988,40.5056,73.8283,337.0453,283.0885,169,233.3686,0,0,0,0,230.4966,259.0759,170.5159,158.109,0,86.7776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287.0238,286.1486,165.1913,197.5142,0,0,0,0
PIP 38:5 (FA 20:4),24.6822,55.9326,55.1576,84.3812,55.9293,49.5077,75.0204,134.4598,26.631,22.2331,0,0,0,0,160.0817,177.4999,53.3953,116.3348,38.1111,34.7934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.8377,0,189.1503,192.3621,0,0,0,0
"PIP2 32:2 (PI,PIP,PIP2,PIP3)",67.4299,37.0289,0,0,0,0,0,23.715,0,66.3695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.527,39.4211,0,17.2527,0,0,0,0,0,0
"PIP2 38:5 (PI,PIP,PIP2,PIP3)",1766.5199,2174.3138,3125.4803,3392.9611,2798.2469,2394.0055,1113.8279,1632.4049,1946.3024,2637.506,2911.6679,3021.7442,0,1154.378,1155.1844,0,1474.4234,1668.6585,1643.8802,1787.7108,0,0,0,1114.2192,5554.6105,7623.7407,2389.977,2186.3447,829.1537,1125.0367,1986.3014,1901.8044,2080.4648,1848.8383,1220.0089,1281.1947,1274.8654,1502.4783,0,0,0,573.7203
"PIP2 38:2 (PI,PIP,PIP2,PIP3)",346.5742,274.8513,382.4337,289.8919,321.3754,193.9231,183.2413,299.2812,0,291.1058,0,0,0,0,141.1565,228.1634,175.2592,118.2676,0,289.377,0,0,0,0,514.5115,0,0,0,53.8803,126.2264,267.9638,301.1629,334.0285,363.4995,361.4416,308.3306,53.2263,195.5747,0,0,0,0
PIP2 38:1 (FA 16:1),45.2909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIP2 38:1 (FA 22:0),27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PIP2 40:3 (PI,PIP,PIP2,PIP3)",500.7447,447.994,627.8121,537.2276,59.829,113.7406,172.3945,183.7302,386.0524,439.3894,91.9576,159.3503,0,0,0,89.598,62.2193,87.3156,230.9599,147.7848,69.1751,132.9508,125.6539,0,274.7971,408.0569,152.3503,165.3945,0,37.0194,535.0966,548.7491,663.0566,774.8372,333.1793,139.3544,67.3411,89.2193,42.1751,112.0325,22.1751,30.6539
"PIP 46:3 (PI,PIP,PIP2)",55.3996,100.845,115.2702,0,0,18.324,87.0282,39.3793,78.8128,85.9909,0,0,0,0,22.9325,53.1704,46.795,22.2297,22.9076,63.9713,0,0,0,0,0,0,0,0,0,0,58.9592,108.6544,95.9223,99.9971,85.7674,89.1487,39.6128,57.9609,0,0,0,0
PIP2 44:12 (FA 22:6),7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PIP2 44:3 (PI,PIP,PIP2,PIP3)",20.9965,29.7255,21.8627,18.8122,41,26.0738,69.6287,111.6093,0,23.5896,0,0,0,0,30.5491,102.7234,0,0,25.8122,29.5896,0,0,41,0,0,0,0,0,0,0,16.9983,0,21.9814,0,64.7757,55.7044,26.0738,39.622,0,0,0,0
"LPI O-18:2 (PI,PIP2,PIP3)",26.82,45.6547,32.5665,0,103.2204,114.8568,86.6722,29.0791,0,0,0,0,0,0,51.6326,82.7866,0,0,0,0,0,0,18.12,0,0,0,0,0,144.4425,153.6731,88.5602,87.0098,0,0,81.9979,34.7323,21.0203,16.6926,0,0,0,0
