Sample Name,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_B,NegMSMSALL-CAS9_B,NegMSMSALL-CAV_A,NegMSMSALL-CAV_A,NegMSMSALL-CAV_B,NegMSMSALL-CAV_B,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_B,NegMSMSALL-CAVIN_B,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_B,NegMSMSALL-CERS5_B,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_B,NegMSMSALL-Flot2_B,NegMSMSALL-RAJU-Blank,NegMSMSALL-RAJU-Blank,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_B,NegMSMSALL-SPTLC_B,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_B,NegMSMSALL-UGCG_B,NegMSMSALL-WT_A,NegMSMSALL-WT_A,NegMSMSALL-WT_B,NegMSMSALL-WT_B
Group,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1
PS 22:3 (PS),74,57,67,49,79,121,57,49,61,99.9921,62,70,50.7836,64,59,0,91,69,59,59,63.9686,25,62,82,75.997,62,84,76,0,0,66.8826,89,71,91,35,79,86,55,63.9926,40,57,42
PS O-24:2 (FA 12:1),15.3664,0,0,0,0,0,18.1956,10.8847,0,0,0,0,0,0,0,20.4763,0,0,0,0,0,0,21.0052,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9089,0,0,0,0,0
PS 30:3 (PS),88.1146,63.1046,0,0,0,69.7245,60.3148,39.6296,104.2058,39.9666,62.1115,70.1146,0,0,55.2647,37.7898,0,54.2788,79.0166,50.0946,109.4215,79.5895,0,54.5195,0,49.3155,0,0,54,33,0,0,0,0,18.3148,0,0,0,135.4716,54.5295,97.4068,106.4694
PS 30:3 (PS),15.6582,27.0067,35.8105,0,20.8221,7.7046,8.3302,4.5658,27.8672,25.0446,6.5102,17.7483,31.3274,10.518,22.4723,17.0013,24.3553,9.1004,47.7323,5.2952,27.702,15.2593,26.5295,42.9482,36.2834,46.2742,24.9028,26.9751,0,0,8.9415,7.3548,0,17.9509,23.5404,8.9178,22.915,5.0598,0,38.2248,16.5897,0
PS 30:2 (PS),14.5124,3.247,21.5945,25.7002,28.1795,26.8971,24.256,34.0266,16.774,12.7961,17.7381,5.9918,13.0974,0,16.5434,0,3.0516,13.6925,17.1215,15.9871,23.4194,66.7734,42.365,46.926,13.3726,0,14.5208,29.9046,0,18.3348,14.2611,0,0,0,17.4894,0,10.265,0,0,0,0,0
PS O-32:5 (FA 12:1),17,19.8146,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0
PS O-32:5 (FA 20:4),2558.3972,2423.144,0,0,0,0,0,0,0,0,0,0,0,0,0,4090.0283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1784.9436,0,0,0,0,0
PS O-32:4 (PS),95.5876,126.7903,166.9317,156.0755,64.0617,53.732,56.252,47.0799,117.9534,100.3139,97.3984,85.924,92.0083,57.8098,109.6997,88.9297,84.1146,60.1294,134.3611,103.8244,124.1488,129.6989,105.1114,132.547,151.1612,83.6796,71.2713,80.7197,0,0,27.2495,31.3414,20.1688,37.9059,85.3123,72.7072,92.7196,39.2065,128.6615,0,89.2931,103.3834
PS 32:10 (PS),71.2793,45.5088,35.6364,9.8515,0,0,3.5573,16.0189,5.6362,17.8829,32.6588,26.2632,0,0,10.9095,26.5091,21.7258,47.1825,13.3428,25.5904,24.1954,47.2174,60.6048,63.1203,17.9135,41.7811,0,0,0,0,17.6623,23.95,0,0,0,0,0,0,16.1219,0,37.4539,62.9915
PS O-32:3 (FA 16:2),25,0,0,0,0,0,0,0,0,0,0,0,21.9977,0,17.3844,0,19.0732,0,0,11.0255,22,23,0,0,18.3844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS O-32:3 (FA 16:1),3849.5892,0,0,0,0,0,0,0,0,0,0,0,4933.7094,0,6814.5951,0,6560.7516,0,0,8635.3079,7047.947,6834.8208,0,0,5302.2169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS O-32:2 (FA 16:1),3090.119,2725.0895,2932.7949,2594.6772,0,2273.4389,2178.2585,2009.866,0,0,2356.7061,0,2257.0644,0,0,2288.2777,3165.3262,3348.5437,4527.9889,0,4161.5397,3906.34,4238.5721,4359.219,3851.0514,3983.1279,3590.328,3250.4216,113.6971,79.1714,0,975.0412,980.0619,1039.879,2208.607,1027.3986,1701.6408,1654.4322,4135.9192,4367.2693,3940.8673,4126.3168
