Sample Name,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-B,PosMSMSALL-CAS9-B,PosMSMSALL-CAV_A,PosMSMSALL-CAV_A,PosMSMSALL-CAV_B,PosMSMSALL-CAV_B,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_B,PosMSMSALL-CAVIN_B,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-B,PosMSMSALL-CERS5-B,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-B,PosMSMSALL-Flot2-B,PosMSMSALL-RAJU-Blank,PosMSMSALL-RAJU-Blank,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_B,PosMSMSALL-SPTLC_B,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-B,PosMSMSALL-UGCG-B,PosMSMSALL-WT_A,PosMSMSALL-WT_A,PosMSMSALL-WT_B,PosMSMSALL-WT_B
Group,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1
SM 28:4;2 (LCB 18:0;2-2H2O),52.6588,69.3031,65.4472,56.5622,28.7493,0,23.8187,0,18.5041,29.836,0,29.3855,14.2641,8.3982,16.2848,26.1865,62.8754,29.5506,34.6208,51.163,18.545,44.375,45.9663,38.6928,30.0839,26.355,54.4142,55.2105,0,0,32.7262,28.3619,8.7926,4.235,17.9466,28.3495,5.9244,63.1482,1.8285,38.3722,16.7056,33.9256
"SM 28:4;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",16.141,0,0,4.6532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.2446,0,13.1365,26.6125,0,0,0,0,0,0,0,6.3087,0,0,0,0,0,0,0,0
SM 28:4;2 (LCB 18:0;2-H2O),0,0,0,14.6339,0,0,11.5597,29.1527,0,0,0,0,0,0,0,0,0,0,4.8161,6.1829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.4729,0,11.1115,0,0,0,0,0
"SM 32:4;2 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",49.6825,40.8351,0,0,206.8972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.1312,38.0253,0,0
SM 32:4;2 (LCB 18:0;2-H2O),26.4168,9.439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,26.0901,0,0
"SM 32:1;2 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",6.5894,22.2281,11.4815,4.5435,16.8919,0,15.66,0,30.1353,9.2119,14.2092,38.7018,15.358,18.4549,32.2479,25.4571,22.4183,36.1311,34.6877,27.4467,13.054,31.6623,8.6301,0,27.9612,0,0,26.919,0,0,0,30.0746,23.1041,0,0,0,0,0,0,15.925,24.4755,0
"SM 32:1;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",15.3214,0,0,0,0,0,0,0,0,0,0,0,0,0,21.5166,0,0,0,0,0,0,0,18.8591,0,12.349,0,0,0,0,0,0,0,0,0,19.7625,12.4319,0,0,0,0,0,0
SM 32:1;2 (SM),8941.2349,9044.5638,9523.6967,8465.9557,12440.346,13106.9402,9260.6925,9945.7348,13974.8563,15376.1957,16429.3729,17053.821,20679.9557,20334.4195,20811.8947,20765.4233,27002.1152,24425.9567,29465.4543,30084.5594,16399.0761,16521.6132,15597.8409,16212.9679,8302.0649,8255.055,9493.6636,9677.432,0,0,6742.3106,7798.5913,9788.4513,10212.0473,4712.0971,5121.2294,4515.1318,4854.7363,13853.4857,14764.8437,11748.7641,11158.0377
SM 32:4;3 (SM),12.0446,45.5517,0,8.935,0,0,0,22.7846,0,0,4.4876,0,0,8.309,35.1742,0,8.4082,48.4462,0.4721,37.4029,29.016,0.2523,0,0,78.8831,0,17.3366,9.1286,0,0,0,0,0,5.782,0,0,0,31.7383,21.8147,0,0,0
"SM 32:3;3 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",29.3023,0,20.4649,0,0,33.7614,27,0,26.8015,0,0,0,11.2871,18.6063,26.7543,0,0,0,0,0,0,0,0,0,15.5912,20.156,0,0,0,0,0,0,0,0,0,25.3113,0,0,0,0,0,14
SM 32:3;3 (SM),189.5228,165.8395,198.9056,239.938,136.8593,162.3296,127.5885,156.0801,176.7902,191.2807,166.4027,300.4924,146.5612,121.9895,177.3068,213.9101,180.5471,104.5422,144.494,129.2594,188.1092,170.3534,197.6462,228.6396,137.2631,150.5991,95.9539,105.3084,0,0,88.6514,99.4829,121.4699,136.1542,114.4001,105.5522,91.6216,99.6427,169.9805,190.9879,186.8089,146.5956
"SM 32:2;3 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",20.4578,0,0,0,0,18.349,29.7265,27,0,0,0,0,24.4971,0,35.8291,33.9618,0,0,0,0,0,0,0,0,0,15.5202,0,0,0,0,0,0,0,34,38.2034,43.4002,0,0,0,0,0,0
SM 32:2;3 (SM),7031.9246,6652.9912,7423.0128,7172.1974,5374.8579,5282.68,4797.663,5082.011,5912.2696,5562.19,6987.7212,6486.2333,4978.7486,4899.2736,4864.7289,5456.5668,5609.1614,4453.569,6194.3494,6509.145,7050.5356,6723.6604,6396.7001,7425.6531,3854.5279,4003.4058,4643.5175,4493.5025,0,0,3158.8784,2826.2196,3577.6903,3755.3114,4871.3586,5028.6713,4890.771,4689.6225,6070.5867,6735.939,5599.0105,5434.219
"SM 34:2;2 (LCB 18:2;2-2H20,LCB 18:1;3-3H2O)",24.1233,34,0,0,0,24.1233,0,0,0,0,0,0,0,0,0,21.9924,27,27,0,0,0,0,24.1233,27,20.4353,0,0,0,0,0,0,0,0,0,0,27,0,0,0,41,0,0
SM 34:2;2 (SM),14572.8561,14485.7356,17154.5017,15106.2958,9069.5759,9773.1265,8388.4592,7822.0396,13735.1762,12681.8963,15524.6115,16765.3631,11907.2819,11448.8773,12794.6074,12752.3965,9861.8835,8226.1577,10865.929,10187.1504,15585.477,15514.5867,14689.9055,16060.8736,9287.0374,9344.5577,11817.0255,11080.0112,0,0,5768.8336,6410.1545,7771.0822,7870.6801,9078.8672,8614.0602,7587.5089,8124.8526,11184.0236,10917.7842,9048.9374,9203.1324
"SM 34:1;2 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",151.5395,155.2497,177.1349,157.8741,203.8901,207.6373,198.6089,172.2003,289.455,236.4346,195.3441,206.995,214.508,192.1403,187.6221,198.2717,212.997,198.9046,198.3132,193.3481,268.8082,246.0404,191.2642,217.3771,143.8761,112.2602,185.022,170.6913,0,0,54.8647,81.6342,114.2562,87.7552,135,162,210,128,234.3876,220.2603,180.3691,173.0193
SM 34:1;2 (LCB 18:0;2-H2O),0,0,0,0,0,0,1.0791,0,0,0,0,11.8375,0.6851,0,0,0,0,0,8.8336,2.3984,0,0,0,0,0,4.8403,0,17.8415,0,0,0,0,0,0,0,0,0,7.0429,11.681,0,0,4.2281
SM 34:1;2 (SM),172023.2974,160454.514,176722.6812,169794.2309,138620.6688,143004.6972,148948.4804,155146.1157,178138.147,149820.5367,202115.1104,170008.3489,194175.949,166714.2792,165420.7463,189125.0182,170943.9705,185114.4611,188976.5879,173261.4936,182067.6414,175113.1015,182419.0427,169904.4058,146938.0533,154650.0345,180990.3419,159413.552,0,0,115290.8818,119180.8776,141438.4452,135654.2883,159678.163,163965.6551,142802.2855,156194.4085,186376.9791,187862.0675,152668.7817,193584.4322
SM 34:0;2 (SM),34448.9161,26239.7735,34348.4981,21161.1491,14913.1585,16412.1775,22029.0962,22002.1954,30361.7892,29479.8094,40062.1495,42141.8894,42350.9995,38169.4428,42228.4851,45898.296,45227.6939,34608.6275,53129.4589,55124.5838,28921.2433,33261.4281,31684.3137,34290.3585,38706.7917,33951.2901,50617.5303,44135.9558,0,0,16139.355,16756.0223,21721.5083,18982.0818,97021.7203,95845.6332,81453.0677,93678.4718,42580.7007,44933.9489,33501.4485,32973.1789
SM 32:1;4 (LCB 18:0;2-H2O),44.3099,39.013,29.9329,22.8877,0,0,172.5201,207.0642,26.7937,0,0,0,33.735,40.732,0,0,0,0,76.5861,39.6438,0,0,0,26.7632,0,0,0,0,0,0,0,0,0,0,44.2917,49.8216,38.9304,21.9997,0,0,46.7304,16.2877
"SM 34:2;3 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",61,47,27,0,34,0,20,27,68.3882,47,0,0,89.9568,0,52.28,64.3797,27,0,0,27,34,41,56.1178,56.1407,0,142.1415,0,0,0,0,0,0,0,0,0,135.896,0,0,0,0,0,0
SM 34:2;3 (SM),2149.9558,1743.5862,2179.2718,0,2456.1505,0,2015.1786,1967.3199,2850.2959,2334.2292,0,2685.3277,2990.5997,0,2756.9509,2937.7765,3259.5549,0,3549.6848,3274.7286,2657.2467,2326.2127,2639.5172,2628.0159,0,1782.8532,0,2198.7871,0,0,0,0,0,0,0,1871.5044,0,0,1916.443,1815.516,0,0
SM 34:1;3 (LCB 18:0;2-2H2O),115.7731,90.6684,63.001,24.3346,18.0046,67.6682,38.3346,29.001,96.5961,32.002,33.3355,59.002,36.9345,101.7844,81.9814,97.2777,43.001,33.6682,51.9899,72.3346,72.002,33.3355,54.5269,27.344,45.4224,80.1288,97.001,18.3346,0,0,47.6674,26.4523,31.3346,47,37.7509,34.9929,22.3336,56.3336,25.002,24.6701,51.3346,25.002
"SM 34:0;3 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",14.6811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.868,0,0,0,0,0,0,0,0,0,0,0,26.23,0,0,0,0,0,0
SM 36:1;2 (SM),5144.317,5507.0357,5513.8952,3663.2167,9817.2339,6586.2857,5273.561,8382.4284,9060.5505,7365.6096,8487.1655,9176.2452,11818.622,10645.831,12912.9568,8783.7869,9215.5917,7969.8907,9877.9061,8753.5556,11414.3503,13449.8954,12523.4764,12575.5542,11683.7605,11657.9648,15194.9374,12314.5522,0,0,4343.5016,5154.3542,5866.7267,4152.1513,5495.2558,5859.0904,5319.4969,5001.4886,1312.1729,6862.2495,460.7304,3691.7082
SM 36:0;2 (SM),26274.1429,36596.5646,42607.8485,32383.8067,42209.0499,47897.4389,29183.5611,16265.3199,54121.4787,21675.9767,32997.1306,42107.4127,45196.8419,70103.8485,80592.9221,93449.6623,32910.4585,21923.9424,37936.3886,39736.2767,54727.2406,63407.9537,67537.3538,75223.9275,29684.0481,29864.5892,58327.3857,49477.9995,0,0,0,0,6555.1562,13978.4451,0,0,0,0,87344.3926,84137.1613,67119.8299,55690.9902
SM 34:1;4 (LCB 18:0;2-2H2O),26.721,26.6449,0,0,0,0,0,0,40.4528,33.7063,0,0,36.8082,46.587,20.2513,40.6015,0,26.9664,0,0,0,0,52.9062,33.2026,52.6297,76.1786,0,0,0,0,0,0,13.6415,0,40.9999,49.9617,0,0,0,0,0,0
SM 34:1;4 (LCB 18:0;2-H2O),2.9443,0,0,0,0,0,0,25.5055,0,0,0,0,0,0,0,0,0,0,10.0716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6723,0,0,0,0,0
SM 34:1;4 (SM),0,6091.2018,26301.0101,28858.6622,5670.6701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM 36:2;3 (LCB 18:0;2-2H2O),195.9956,150.3896,176,176,221.4441,233.8882,142,169,364.9207,221.629,204.3896,230,266.0852,247.3515,160.3033,268.2264,318,183,216.362,236.362,250.362,311,243.2172,277.3912,187.3427,230.3836,215.7397,298,0,0,96.4101,134.2527,149,157.3896,71.852,56.7804,122,115,258.6041,318.5792,243,216
SM 36:1;3 (LCB 18:0;2-2H2O),73.8139,83.3975,57.7299,125.7299,46.5128,43.4089,19.0889,32.4509,0,31.7069,70.1215,17.4538,2.4702,26.0088,39.9593,0.2483,36.8188,43.0089,14.4986,2.5815,66.1396,38.5397,54.7475,0,33.8722,29.4595,59.4864,48.7358,0,0,28.6707,0.9722,4.3679,13.6765,68.5099,79.766,31.0059,59.7269,55.5862,69.862,21.2577,54.8958
SM 38:4;2 (LCB 18:0;2-H2O),39.2904,19.265,36.4718,65.036,178.8463,155.056,313.8222,196.6819,16.4868,27.1153,16.6343,5.3299,31.3216,32.5599,22.5408,59.7473,0,0,414.2106,517.3445,0,2.321,0.8359,0,1.1245,19.3005,8.2323,0,0,0,0.3558,0,0,0,39.9138,23.0202,28.7101,51.94,0,0,53.5632,11.0433
SM 38:4;2 (SM),150541.4513,133163.4637,137501.594,136429.1186,134682.7948,188217.189,145981.309,145263.2447,155178.1521,132660.5131,149280.951,142738.6862,143060.7843,139972.3162,161366.1736,142330.6429,168708.4108,159578.6517,158229.2645,154371.1102,155626.0209,150457.6871,135430.1248,135815.5069,113472.6839,117731.2066,168923.0935,162112.1185,0,0,194355.0214,166603.4777,162727.5685,172376.9044,157583.0812,168631.5949,162755.6965,172972.9549,158702.594,136276.2043,133449.6456,117926.0469
SM 38:2;2 (SM),9619.7822,8779.5765,10573.6673,8678.3246,6800.8166,8597.901,6438.2453,7674.3239,9210.3204,10545.5299,9653.5605,8215.7447,9696.2459,7569.583,11130.8854,8424.5333,9151.5351,8149.87,9459.7086,9959.3644,12060.0935,11293.6087,11402.7677,10211.6605,7148.854,6649.9687,8798.7123,8213.128,0,0,4479.493,5312.2209,5955.8326,6371.6661,5800.5323,6435.554,6296.0929,5176.1847,13757.7544,14133.821,13047.0507,12754.699
SM 38:1;2 (LCB 18:0;2-H2O),51.9196,0,0,47.539,23.0033,0,60.9967,27.2139,0,14.6495,0,0,26.989,0,0,30.1126,0,0,0,24.5901,0,0,0,0,0,0,0,27,0,0,0,34,0,0,40.986,33.9333,33.9666,43.9719,0,0,0,0
SM 38:1;2 (SM),65184.9325,64311.9318,85586.483,69705.4878,51005.035,41698.7207,36498.2524,36429.1241,45447.1056,46521.5727,39684.7692,54659.6753,35333.852,39120.5713,61533.7499,60152.442,42496.5733,27098.8635,47623.6471,43135.9504,71525.0583,66472.9481,56465.1842,60948.7503,18239.4549,25333.7286,48887.2763,88645.7497,0,0,0,0,9361.3566,16609.654,16194.2041,11209.9505,1137.0195,0,102187.9372,100566.4097,63996.4133,98774.7088
"SM 36:2;4 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",22.8125,0,53.2875,48,39.3498,21.3234,0,0,31.5016,31.6789,0,0,28.1647,27.3082,45.084,56.7378,0,6.2496,0,0,0,0,0,13.356,67.5315,80.4883,0,0,0,0,0,12.1219,0,0,29.0733,41.9581,0,0,0,0,0,0
SM 38:0;2 (SM),123788.5631,118527.461,111067.6605,93073.1902,88822.4431,91476.3802,131033.6754,67619.5916,120246.3837,99851.4999,82634.6204,112119.3887,93871.6939,100804.4939,99533.2501,101694.3541,119621.2899,103872.0833,115258.5952,87861.4061,121040.4699,117991.0757,87773.8709,137164.0999,92455.7931,85400.518,126336.7039,111885.3634,0,0,74874.4762,95953.918,85923.0397,104774.3066,88492.2641,94477.5356,104227.5203,110321.7448,121449.6568,106351.9183,78611.0968,112411.8607
SM 38:3;3 (LCB 18:0;2-2H2O),4.0343,0,0,0,0,0,0,0,27.4655,44.4125,0,0,28.2228,21.8752,17.9653,22.0657,0,0,0,0,0,0,19.7826,29.7306,41.1537,25.6137,0,0,0,0,0,0,2.6237,0,0,34,0,0,0,0,0,0
SM 38:3;3 (SM),5850.0617,5970.2661,7534.6358,4543.2921,3305.0173,3096.6938,3895.2492,2795.1086,4076.1782,3395.7476,3619.0439,3271.5727,4070.2328,3976.0466,5397.2133,4938.5938,4396.3021,3702.4214,5409.8932,5613.6621,5726.0948,5357.0945,4842.9434,5992.4122,3482.3929,3198.6672,5934.8148,5048.9162,0,0,1778.623,1939.8092,2734.0837,2465.7183,4283.9178,3381.9842,3935.8428,4301.7628,3362.4862,3738.579,3724.399,3439.6484
SM 40:4;2 (SM),1999.7603,1433.6092,1536.3566,2662.2547,3753.3474,3455.7384,2684.3945,2463.8812,2496.5827,1965.664,2707.2727,2404.1452,0,0,0,1496.3771,1572.2039,1404.6628,0,1280.9155,1305.1036,1222.8022,1119.7759,1213.4923,0,1381.7872,2046.8118,1520.984,0,0,2035.2073,2487.5637,2515.2288,2477.267,1983.6595,1938.8604,1765.9407,1525.2864,0,919.6376,0,880.3859
SM 40:3;2 (LCB 18:0;2-2H2O),47,41,41,34,30.1837,0,0,43.4369,0,0.5398,41,41,23.6816,36.7977,61,32.4595,61,41,42.5131,84.4369,34,32.1058,40.6491,61,22.5563,9.3368,41,56.0166,0,0,24.2514,0,41,0,54.3799,24.8383,47,54,26.937,19.937,47,33.937
SM 40:3;2 (SM),525.2373,668.8815,1850.0502,0,0,0,0,0,0,0,0,0,2192.0166,1348.3813,1882.4007,2489.3454,1780.3667,743.8088,3005.4119,2257.6538,3414.149,2580.5246,1846.4619,4238.4877,2736.5791,2672.4295,908.1407,96.1702,0,0,0,0,0,0,0,0,0,0,4922.7835,6320.0031,6584.4556,5250.7042
SM 40:2;2 (SM),21264.4054,15572.736,35063.9987,38553.3585,14297.7754,11973.0119,13309.5882,10411.4,21970.5014,19051.627,22786.7666,13564.9492,14149.1949,10389.2937,13407.0488,16052.0391,8108.0377,9298.2026,10771.0094,14947.0869,27007.7329,23470.6466,22662.4255,15359.4015,15651.7762,11941.3575,19385.2813,22376.5869,0,0,569.5727,3629.3799,5055.7906,6660.4444,9092.4473,7735.3593,10166.3055,13078.2734,25575.3524,37785.0285,27501.8138,29133.4169
SM 40:1;2 (SM),81944.1142,105005.312,130561.829,110012.3198,54234.0646,39803.8191,43305.3957,26504.919,99741.588,95264.8493,83322.6963,80308.9045,59558.7469,66332.7783,59669.4873,77707.58,87730.7761,49016.7687,56252.0391,72740.5487,102708.4955,69915.4168,74997.4705,95159.5854,59775.8835,57332.517,90647.2404,92855.8525,0,0,8403.4778,7573.7668,6477.2182,44854.9293,56328.5368,59239.9378,45587.7761,68783.6765,96185.7115,86076.9156,85522.8414,107779.4073
SM 40:0;2 (SM),13623.2511,20124.5111,38904.0011,30436.3294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM 38:1;4 (LCB 18:0;2-2H2O),54,27,21.2421,13.9992,53.9891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,53.9755,33.9785,0,0,34,0,0,0,0,0,0,0,34,26.0096,0,47,68,9.4391,34.5417,27.5225
SM 38:1;4 (SM),0,0,0,0,1788.6939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.421,0,0,0,0,0,0,0,0,0,0,0,277.5831,981.5325,0,789.2449,727.7834,0,0,0
"SM 38:0;4 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",17.109,0,0,27,0,0,0,0,17.1466,0,0,0,0,0,0,0,0,0,0,0,0,0,33.9877,0,0,43.141,0,0,0,0,0,0,0,0,46.9204,43.7862,0,27,0,0,0,0
"SM 40:3;3 (LCB 18:2;2-2H20,LCB 18:1;3-3H2O)",27,0,0,27,135,156,41,27,0,27,34,34,0,0,0,0,0,0,169,0,0,0,27,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,27,0,47,54
SM 40:3;3 (SM),2846.8611,2919.3408,3576.3142,3637.0781,3141.3984,2631.8045,3009.221,2417.0488,3242.8427,3293.7578,4426.4662,4144.0637,0,0,1887.9636,0,0,0,1864.0493,0,4525.8432,4235.195,3943.0548,3930.6901,3549.6016,2838.6456,3555.3581,3673.9218,0,0,0,0,2572.6543,2234.5746,2513.4156,3223.6497,2986.374,2504.8988,3528.748,3681.2711,3029.5967,3024.4643
SM 42:4;2 (LCB 18:0;2-2H2O),34,54,41,67.6127,34,0,34,27,34,33.5123,34,0,40.6127,26.5123,40.5124,32.5927,27,34,47,27,61,0,33.5123,53.413,46.2315,25.2602,81,54,0,0,0,0,30.545,0,0,23.0688,27,34,68,61,41,68
