Sample Name,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-B,PosMSMSALL-CAS9-B,PosMSMSALL-CAV_A,PosMSMSALL-CAV_A,PosMSMSALL-CAV_B,PosMSMSALL-CAV_B,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_B,PosMSMSALL-CAVIN_B,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-B,PosMSMSALL-CERS5-B,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-B,PosMSMSALL-Flot2-B,PosMSMSALL-RAJU-Blank,PosMSMSALL-RAJU-Blank,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_B,PosMSMSALL-SPTLC_B,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-B,PosMSMSALL-UGCG-B,PosMSMSALL-WT_A,PosMSMSALL-WT_A,PosMSMSALL-WT_B,PosMSMSALL-WT_B
Erg 13:0+NH4 (Erg),97.9382,107.9965,65.5875,0,43.9381,77.1869,52.2482,53.2164,38.599,44.8119,0,0,24.2997,28.4044,0,0,0,0,0,0,0,0,0,0,36.0503,0,0,0,0,0,0,0,0,0,29.3424,0,126.1841,179.803,0,0,0,27
CE 14:1+NH4 (Chol),64.7351,54,68,80.9931,46.9863,100.9891,21.2678,46.7735,107.9877,114.9891,95,87.9931,33.9289,40.5978,61,40.9946,33.9931,95,40.9243,23.985,101,68,81,46.9946,67.9946,95,74,80.9931,0,0,26.9837,0,0,0,0,34,26.1514,0,250,196,196,162
Des 14:0+NH4 (Des),0,5.1324,26.8723,5.251,0,0,0,0,56.6448,62.0293,87.372,100.963,0,0,46.3543,61.677,68,43.9831,0,0,106.3085,76.892,40.9675,64.7808,78.226,63.0571,107.94,81,0,0,42.892,41,40.9946,41,0,0,0,0,91.0288,111.7377,49.9499,43.7958
CE 14:0+NH4 (Chol),684.7482,790.1467,873.7772,763.7234,730.549,897.7797,608.396,598.0133,1236.2995,1300.0951,1153.758,1091.3595,402.1276,470.5537,547.6237,500.6141,443.0958,317.758,270.649,263.2998,673.7743,568.1847,479.72,443.6304,942.7778,720.758,0,871.8463,0,0,169.5815,151.8977,237,189,317.5743,355.0923,0,375.8877,1660.7691,1945.2989,1430.2989,1442.7106
CE 15:0+NH4 (Chol),207.4686,280.7074,275.7675,329.4431,252.3731,169,119.4746,139.9911,364.4148,320.7074,381.975,439.1471,0,0,144.7248,162.1471,209.2676,169,99.0394,152.2772,0,0,277.3012,237,198.7409,185.7074,0,0,41,0,59.2282,54.0044,63.5995,95,125.8234,161.7847,0,0,0,0,186.0955,222.8029
CE 16:2+NH4 (Chol),113.9286,70.3224,167.6448,79.9238,144.5253,130.2463,69.4872,105.2085,90.2843,89.5253,90.2843,140.9286,63.3224,83.3224,52.6829,101,43.5633,68,46.6829,53.9619,106.6829,80.9619,77.3224,59.9238,83.3224,56.3224,63.2843,103.5253,0,0,68,41,73.721,37.6542,73.9619,59.6829,107.4483,80.9619,131.3224,120.6829,63.3224,73.6829
Des 16:1+NH4 (Des),102.9962,58.2694,121.0293,0,60.4482,67.0991,0,0,155.9509,168.1581,266.3292,190.2615,0,0,61.1033,35.7776,176,232.3292,0,0,257,331,247.5887,232.5574,128.0491,122.6046,183,225.5047,0,0,140.149,93.9673,167.6911,156,0,0,0,0,527,600.9673,286.8054,364.0483
CE 16:1+NH4 (Chol),3914.7621,4044.9421,4815.324,3807.2385,3007.2316,2891.8331,2166.6039,2077.6922,3596.7186,3334.5287,3999.7139,4043.1895,1521.8745,1561.2281,1737.708,1682.636,1584.3177,1462.0024,1100.525,1142.9959,1707.6319,2161.6942,1554.051,1505.6577,2385.2281,2062.9695,2378.7567,2576.6763,0,0,0,0,0,1071.4421,1286.6205,1215.8397,1380.6062,1385.9631,6073.9748,7230.1309,4784.8745,4897.3498
"Lan 13:0+NH4 (Lan,Sti)",94.9931,149,115,156,46.8371,40.8024,108,77.5492,61,47,0,0,47,60.9661,40.7837,0,0,0,0,84.4302,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,223,0,0,0,34,0
Des 16:0+NH4 (Des),146.8217,247.5708,251.8354,187.4215,39.9781,54.2179,0,0,204.8913,215.9298,234.0418,251.1106,57.1945,18.3156,128.5134,207.8339,186.7305,164.537,0,1.0797,236.0212,274.2374,223.4387,210.1801,204.4406,198.1711,313.805,295.0945,0,0,0,0,0,87.9223,104.763,176.1973,0,0,268.3236,298.9517,227.7874,251.561
