Sample Name,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-B,PosMSMSALL-CAS9-B,PosMSMSALL-CAV_A,PosMSMSALL-CAV_A,PosMSMSALL-CAV_B,PosMSMSALL-CAV_B,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_B,PosMSMSALL-CAVIN_B,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-B,PosMSMSALL-CERS5-B,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-B,PosMSMSALL-Flot2-B,PosMSMSALL-RAJU-Blank,PosMSMSALL-RAJU-Blank,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_B,PosMSMSALL-SPTLC_B,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-B,PosMSMSALL-UGCG-B,PosMSMSALL-WT_A,PosMSMSALL-WT_A,PosMSMSALL-WT_B,PosMSMSALL-WT_B
DAG 32:1+NH4 (-FA 14:0 (NH4)),961,847,927,1022,431,0,390,403,1477,1492,1259,1197,627,581,767,561,1130,1048,969,915,1277,1160,949,1022,796,731,1398,1197,0,0,0,0,0,0,519,611,756,762,1780,2021,1342,1316
DAG 32:1+NH4 (-FA 16:0 (NH4)),1921,0,2179,1960,748,787,712,0,0,1737,1440,0,962,941,1185,1120,1514,1257,1226,1264,1575,1795,1370,1430,1198,0,1933,1870,0,0,0,0,0,0,883,886,1113,1213,2782,3227,2532,2537
DAG 32:1+NH4 (-FA 18:1 (NH4)),798,782,973,0,454,446,321,419,1336,1283,1147,1217,507,536,669,750,0,1006,918,898,1242,1030,875,909,786,819,0,1281,0,0,0,0,0,0,532,580,732,760,1707,0,1188,1231
DAG 34:2+NH4 (-FA 14:1 (NH4)),30,37,25,0,8,0,66,54,22,22,0,0,25,33,0,0,0,0,65,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,74,74,0,32,22,23
DAG 34:2+NH4 (-FA 15:2 (NH4)),46074,46675,69867,64588,8653,8782,52918,52983,35831,35266,10240,11169,15881,18058,29084,26418,22731,20963,6538,7565,0,11959,18488,20462,18682,19198,10080,13330,137419,130319,62880,64850,50510,50186,61326,60769,14286,15210,5520,5367,10256,11983
DAG 34:2+NH4 (-FA 16:0 (NH4)),476,0,578,528,351,336,309,287,375,419,545,422,186,184,226,258,341,340,316,296,327,371,250,0,327,312,547,594,0,0,380,0,410,452,0,323,419,434,368,388,322,287
DAG 34:2+NH4 (-FA 16:1 (NH4)),4107,4301,4555,4499,1692,1599,1123,1098,3544,3467,3230,0,1284,1161,1591,1629,2604,2140,1865,1999,2659,0,2213,2047,1666,1659,2283,2460,0,0,1242,1244,1481,1589,1330,1288,1418,1405,6866,6995,0,5509
DAG 34:2+NH4 (-FA 16:2 (NH4)),218,272,459,338,49,44,246,233,193,199,77,0,79,101,170,160,0,0,57,54,98,0,99,137,89,114,66,0,0,0,314,0,184,0,304,317,76,69,30,42,0,0
DAG 34:2+NH4 (-FA 18:0 (NH4)),35,28,33,25,50,40,49,57,66,54,0,0,114,101,47,52,0,0,30,32,22,0,92,72,0,96,22,0,0,0,28,0,23,0,92,108,40,22,28,30,0,0
DAG 34:2+NH4 (-FA 18:1 (NH4)),3837,4269,4570,4211,1487,0,1117,1089,3468,3431,3194,3192,1246,1146,1538,1436,2165,2183,0,1949,2596,2549,2194,2116,1895,1548,2210,2273,0,0,1172,1203,1400,1438,1205,1201,1432,1351,7033,7066,5770,0
