,feature,class,86,94,110,112,117,Control,73,76,89,93,195,196,iKO,iKO vs. CON,iKO vs. CON,63,80,83,108,116,G519R,G519R vs. CON,G519R vs. CON,248,249,255,257,Lrig1-D3,Lrig-D3 vs. CON,Lrig-D3 vs. CON,ALI,Lipid,
,fullname,,VilERT-G519R-86,VilERT-G519R-94,VilERT-G519R-110,VilERT-G519R-112,VilERT-G519R-117,,VilERT-M5B-73,VilERT-M5B-76,VilERT-G519R-89,VilERT-G519R-93,Lrig-M5B-195,Lrig-M5B-196,,,,VilERT-G519R-63,VilERT-G519R-80,VilERT-G519R-83,VilERT-G519R-108,VilERT-G519R-116,,,,Lrig1-M5B-248,Lrig1-M5B-249,Lrig1-M5B-255,Lrig1-M5B-257,,,,H655ALI,H655Lipid,H655
No.,cohort,,Control,Control,Control,Control,Control,Average,iKO,iKO,iKO,iKO,iKO,iKO,Average,"Fold change (log, base 2)",P-value,G519R,G519R,G519R,G519R,G519R,Average,"Fold change (log, base 2)",P-value,Lrig1-D3,Lrig1-D3,Lrig1-D3,Lrig1-D3,Average,"Fold change (log, base 2)",P-value,DGAT-ALI,DGAT-Lipid,"Fold change (log, base 2)"
1,CE 13:0;0,CE,,,,,,0,,,,,,,0,NA,NA,,,,,4.519790173,4.519790173,Up,Up,,,,,0,NA,NA,,,
2,CE 16:0;0,CE,55.57350159,30.77109909,18.34740067,10.03540039,19.29459953,26.80440025,70.8144989,51.5019989,21.72100067,8.547010422,47.35210037,51.85490036,41.9652516,0.6,0.26,8.487119675,,,,4.310719967,6.398919821,-2.1,0.19,19.11630058,15.30920029,37.17850113,12.49040031,21.02360058,-0.4,0.59,5.813129902,4.17456007,-0.5
3,CE 16:1;0,CE,7.007959843,4.1386199,2.512140036,,,4.552906593,8.897470474,6.908720016,,,5.783070087,6.359149933,6.987102628,0.6,0.13,,,,,,0,Down,Down,2.650619984,,3.167690039,2.376519918,2.73160998,-0.7,0.24,3.237790108,2.206110001,-0.6
4,CE 17:0;0,CE,,3.202250004,,,,3.202250004,,,,,,,0,down,NA,,,,,,0,Down,NA,,,,,0,Down,NA,,,
5,CE 18:0;0,CE,18.3281002,12.43249989,5.665629864,3.736959934,8.919610023,9.816559982,29.00600052,22.17180061,11.6104002,3.760890007,18.20269966,26.04969978,18.46691513,0.9,0.11,4.567770004,,,,5.167620182,4.867695093,-1.0,0.31,6.763339996,6.528250217,11.21000004,5.821579933,7.580792546,-0.4,0.50,,,
6,CE 18:1;0,CE,90.53479767,26.66909981,28.37540054,30.41270065,48.82720184,44.9638401,89.35109711,87.95420074,38.54219818,18.27210045,54.72949982,70.74449921,59.93226592,0.4,0.40,15.99330044,13.07520008,9.123330116,9.736000061,20.83160019,13.75188618,-1.7,0.03,32.49259949,42.10210037,36.45560074,14.04810047,31.27460027,-0.5,0.38,17.80290031,9.386449814,-0.9
7,CE 18:2;0,CE,117.3249969,39.2804985,35.33530045,28.80270004,52.50920105,54.6505394,87.0562973,79.4280014,32.42419815,16.38120079,46.12080002,62.69189835,54.017066,0.0,0.97,11.82400036,10.0447998,11.85389996,6.130559921,12.26329994,10.423312,-2.4,0.03,45.70569992,46.62419891,55.30279922,19.47879982,41.77787447,-0.4,0.53,4.997069836,3.268399954,-0.6
8,CE 18:3;0,CE,7.322780132,2.86661005,3.163789988,,6.210569859,4.890937507,6.714670181,10.49120045,,,,4.343510151,7.183126926,0.6,0.30,,,,,,0,Down,Down,3.645060062,,4.846360207,,4.245710135,-0.2,0.72,,,
9,CE 20:2;0,CE,,,,,,0,,,,,,,0,NA,NA,,,,,,0,NA,NA,3.00902009,6.708209991,,,4.858615041,Up,Up,,,
10,CE 20:3;0,CE,,,,,,0,,,,,,,0,NA,NA,,,,,,0,NA,NA,,,,,0,NA,NA,3.929749966,,
11,CE 20:4;0,CE,,,,,,0,9.777999878,11.65620041,16.95100021,6.498779774,4.79019022,8.051440239,9.620935122,up,Up,2.668629885,3.667710066,6.908090115,,6.069990158,4.828605056,Up,Up,2.185300112,9.603969574,4.975490093,,5.58825326,Up,Up,5.505290031,2.247910023,-1.3
