x,class,structuralcategory,functionalcategory,totallength,totaldb,totaloh,fullname,aag2-C1,aag2-C2,aag2-C3,aag2-V1,aag2-V2,aag2-V3,BHK-C1,BHK-C2,BHK-C3,BHK-V1,BHK-V2,BHK-V3,C636-C1,C636-C2,C636-C3,C636-V1,C636-V2,C636-V3,GPMV-C1,GPMV-C2,GPMV-C3,GPMV-C4,GPMV-V1,GPMV-V2,GPMV-V3,GPMV-V4,U2OS-C1,U2OS-C2,U2OS-C3,U2OS-V1,U2OS-V2,U2OS-V3
,,,,,,,shortname,aag2C1,aag2C2,aag2C3,aag2V1,aag2V2,aag2V3,BHKC1,BHKC2,BHKC3,BHKV1,BHKV2,BHKV3,C636C1,C636C2,C636C3,C636V1,C636V2,C636V3,GPMVC1,GPMVC2,GPMVC3,GPMVC4,GPMVV1,GPMVV2,GPMVV3,GPMVV4,U2OSC1,U2OSC2,U2OSC3,U2OSV1,U2OSV2,U2OSV3
,,,,,,,cohort,Aagcontrol,Aagcontrol,Aagcontrol,Aagvirus,Aagvirus,Aagvirus,BHK21control,BHK21control,BHK21control,BHK21virus,BHK21virus,BHK21virus,C636control,C636control,C636control,C636virus,C636virus,C636virus,GPMVcontrol,GPMVcontrol,GPMVcontrol,GPMVvirus,GPMVvirus,GPMVvirus,GPMVvirus,GPMVvirus,U2OScontrol,U2OScontrol,U2OScontrol,U2OSvirus,U2OSvirus,U2OSvirus
CE 10:0;0,CE,STE,STO,10,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.707509995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CE 11:0;0,CE,STE,STO,11,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.037230015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CE 12:0;0,CE,STE,STO,12,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.374489784,NA,NA,3.922240019,NA,2.019510031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CE 13:0;0,CE,STE,STO,13,0,0,,NA,NA,2.755389929,NA,NA,3.133049965,NA,NA,NA,NA,3.114089966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CE 14:0;0,CE,STE,STO,14,0,0,,11.3263998,14.41469955,26.47999954,15.51399994,18.38730049,31.91699982,4.020430088,3.869199991,3.76767993,5.144020081,4.718649864,6.416759968,57.91279984,44.74689865,41.89279938,34.56900024,37.31330109,38.91960144,14.37889957,NA,NA,NA,11.80360031,10.21930027,NA,NA,12.12950039,21.25429916,16.40690041,17.49239922,26.64730072,26.77499962
CE 14:1;0,CE,STE,STO,14,1,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.224149942,NA,4.081799984,NA,2.288259983,2.019449949,2.342859983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CE 15:0;0,CE,STE,STO,15,0,0,,7.984099865,11.34230042,18.8253994,12.22410011,10.99069977,21.2682991,3.096810102,8.341159821,3.783149958,4.4865098,6.86011982,6.388969898,27.07959938,27.15570068,21.68449974,13.97889996,23.09160042,17.97100067,NA,NA,NA,NA,NA,NA,NA,NA,5.23431015,6.420700073,5.602660179,8.52807045,8.669420242,11.40989971
CE 15:1;0,CE,STE,STO,15,1,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.739089966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
