Sample Name,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-B,PosMSMSALL-CAS9-B,PosMSMSALL-CAV_A,PosMSMSALL-CAV_A,PosMSMSALL-CAV_B,PosMSMSALL-CAV_B,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_B,PosMSMSALL-CAVIN_B,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-B,PosMSMSALL-CERS5-B,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-B,PosMSMSALL-Flot2-B,PosMSMSALL-RAJU-Blank,PosMSMSALL-RAJU-Blank,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_B,PosMSMSALL-SPTLC_B,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-B,PosMSMSALL-UGCG-B,PosMSMSALL-WT_A,PosMSMSALL-WT_A,PosMSMSALL-WT_B,PosMSMSALL-WT_B
"GD3 26:1;3 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",8.0912,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0216,0,0,0,0,0,0,0,10.641,0,0.3945,0,0,0,0,0,0,0,0,0,0,0.0267,0,0,0,0,0,0
"GD3 26:0;3 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",288.75,265.2222,339.9247,0,98.5384,80.8734,47.8226,82.7248,237.1387,210.1206,236.9326,300.4361,164.8415,150.2598,136.7849,155.2306,170.1744,93.1612,85.6908,105.0824,325.0363,257.2833,254.7598,269.7039,0,0,0,0,0,0,0,0,0,0,150.2544,116.2544,182.4749,163.8094,848.4438,781.6702,724.9051,715.7175
"GD3 26:0;3 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",40.446,34.1758,70.3919,0,29.0133,36.131,20.2563,29.1718,64.5599,21.3486,41.3022,55.7951,27.1815,15.4576,19.7224,30.8499,51.0423,27,28.817,22.6083,82.5144,47,51.3836,32.3676,0,0,0,0,0,0,0,0,0,0,39.573,36.0646,42.0825,45.5995,107.441,146.0633,103.9338,126.125
GD3 25:0;4 (LCB 17:0;2-2H2O),27,26.3833,7,0,0,0,0,0,5.2087,27,0,0,0,0,0,0,0,27,0,0,47,34,13.2493,26.7629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,62.6202,34,74
GD3 26:0;4 (LCB 18:0;2-2H2O),0,11.3587,80.9988,28.9402,23.1307,5.6229,0,0,20.6593,19.5448,35,34.2289,25.7997,14.8047,0,8.5386,42,34,48,48.2191,13.9509,62,21.8616,42.6928,1.9129,0,2.7531,41,0,56,50.8824,0,44.341,32.1528,6.4012,4.3811,47.2823,19.7181,34,0,0,0
GD3 26:0;4 (LCB 18:0;2-H2O),0,0.7495,0,0,0,0,6.9914,27.872,0,18.647,0,0,0,0,0,0,0,0,17.1608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1604,0,0,0,0,0,0
"GD3 28:3;3 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",10.3062,15.2977,0,0,0,0,0,0,0,0,0,0,30.7728,5.5028,0,0,0,0,0,0,0,0,0,0,20.8221,0,0,27,0,0,0,0,0,0,26.4766,0,2.5387,13.9198,26.9834,0,0,0
"GD3 28:2;3 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",26.2056,0,18.8291,0,0,32.8027,27,0,25.2184,0,0,0,1.0058,14.4714,23.5798,0,0,0,0,0,0,0,0,0,7.7682,5.15,0,0,0,0,0,0,0,0,0,24.0736,0,0,0,0,0,13.9822
"GD3 28:0;3 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",10.5987,0,0,0,0,14.3371,20.555,27,0,0,0,0,18.5817,0,28.9902,33.7598,0,0,0,0,0,0,0,0,0,8.9536,0,0,0,0,0,0,0,34,33.8583,35.6417,0,0,0,0,0,0
"GD3 27:0;4 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",22.8676,66.2356,74.5284,80.9905,127.9951,173.7729,29.234,40.555,106.3931,141.988,68,74,60.6927,75.2987,91.9852,75.3868,107.9901,54,155.555,226.0553,60.9886,41,50.7378,60.8076,47.6412,67.1904,67.9935,64.94,0,0,26.9786,0,46.7244,28.2544,23.6441,45.7869,33.7023,32.4224,57.9419,68,101,103.1102
