Sample Name,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-B,PosMSMSALL-CAS9-B,PosMSMSALL-CAV_A,PosMSMSALL-CAV_A,PosMSMSALL-CAV_B,PosMSMSALL-CAV_B,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_B,PosMSMSALL-CAVIN_B,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-B,PosMSMSALL-CERS5-B,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-B,PosMSMSALL-Flot2-B,PosMSMSALL-RAJU-Blank,PosMSMSALL-RAJU-Blank,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_B,PosMSMSALL-SPTLC_B,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-B,PosMSMSALL-UGCG-B,PosMSMSALL-WT_A,PosMSMSALL-WT_A,PosMSMSALL-WT_B,PosMSMSALL-WT_B
GM3 26:0;2 (LCB 18:0;2-2H2O),29.1186,0,0,0,11.592,5.3574,0,0,0,0,0,0,0,11.5847,6.8109,20.3861,34,29.013,41,7.6455,0,20.5495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0
GM3 26:0;2 (LCB 18:0;2-H2O),155.8865,87.9676,0,0,73.9922,80.9954,364.0762,407.5243,41,53.9927,0,40.9957,86.3179,94.9893,114.168,98.9237,0,34,339.7262,405.9426,0,0,32.6768,27.1346,0,0,0,0,0,0,0,0,0,0,164.2363,167.8675,236.961,222.6582,0,0,0,0
"GM3 26:0;4 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",10562.2497,10284.7051,10778,10262.9657,5738.9192,6104.5569,5250.9657,5727.9657,6484,6186.5569,6310.5569,6028,8235.9657,7987.9657,7043,8435.1481,11253.7051,9965,13726.9279,12243.6585,7871.5569,7578.1481,5987,6547.1481,5051.9929,4776,5895,5460,0,0,2705,2511,3392.1481,3418,4288,4200.1481,4637.5569,4964.1481,9005.6385,9604.2963,8330.9657,8463.5104
"GM3 26:0;4 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",1373.8224,1292.0007,1618.207,1287.9699,897.7539,893.0977,729.0789,619.3084,922.5837,746.2872,771.4299,766.9419,991.0634,1210.2208,942.1719,1010.6118,1432.067,1427.641,1852.0844,1751.9617,1017.4538,1103.2755,994.4046,635.8197,672.839,752.1256,945.9419,679.4197,0,8.9843,385.4172,282.0288,509.2174,460.4172,553.4937,542.3215,681.7232,572.5325,1042.9949,1143.4488,1242.9633,1111.1519
GM3 26:0;4 (LCB 18:0;2-H2O),383.613,275.708,426,432.5459,256.4538,203,2148.5941,1926.836,142,156,61,54,264,345,169,148.4538,0,27,1183.9632,1497.301,0,0,101,176,41,54,0,0,33.4855,25.0972,0,0,0,0,858.4524,808.4566,868.9553,740.0114,27,27,189,92.6665
GM3 26:0;4 (LCB 17:0;2-2H2O),831,828,980,732,494,548,399,514,588.9896,445.8424,480,507,636,676,683,757,816,943,1144,884,628,582,575,527,467,417.3486,480,500,0,0,257,237,291,284,406,358,331,298,852,737,744,695
"GM3 34:2;3 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",8.252,0,0,0,0,0,0,27,25.7859,33.6913,0,0,15.1176,28.1316,23.2955,0,0,0,0,0,0,0,0,33.8691,46.437,22.0671,0,0,0,0,0,0,0,0,26.3449,34.7352,0,0,0,0,0,0
GM3 34:2;3 (LCB 18:0;2-H2O),95.4909,63.9799,21.1713,39.3984,30.5651,0,0,115.9971,14.1993,12.2538,0,0,51.9491,30.7154,27,8.787,8.787,0,164.7569,147.5691,7.8516,12.5367,14.5774,32.8443,12.5367,27,0,0,0,0,0,0,0,0,29.8667,32.5854,58.3399,48.4916,0,0,0,5.9701
"GM3 38:4;3 (LCB 18:2;2-2H20,LCB 18:1;3-3H2O)",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM3 38:4;3 (LCB 18:0;2-2H2O),29.389,68.9841,29.459,73.8261,9.4732,17.608,40.985,47.9992,49.6013,1.5564,26.7515,0,16.8415,47.3114,11.0937,15.3766,7.3179,11.1024,27,26.934,32.5138,0,25.9318,0,18.3179,6.8278,0,31.5337,176,122,31.7061,22,28.5984,75.9678,53.4592,40.6827,15.2276,20.0965,0,0,33.7937,0
"GM3 38:4;3 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",22.5683,16.7102,0,0,0,0,0,0,0,0,11.9253,0,0,0,0,0,7,0,0,22.0204,0,0,0,0,0,0,0,0,0,27,0,8.0205,0,0,0,14.6969,0,0,0,0,0,0
GM3 38:4;3 (LCB 18:0;2-H2O),154.6426,104.4409,65.3719,116.4071,32.6419,36.4604,155.0794,226.2941,80.7128,92.7022,52.2885,0,56.9359,25.5091,33.9562,27,41,27,115.7223,197.5651,27,27,49.6003,99.2737,0,0,0,0,0,27,0,0,42,55,43.7258,60.4791,199.8107,140.6601,0,47,28.0198,68
