Sample Name,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-B,PosMSMSALL-CAS9-B,PosMSMSALL-CAV_A,PosMSMSALL-CAV_A,PosMSMSALL-CAV_B,PosMSMSALL-CAV_B,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_B,PosMSMSALL-CAVIN_B,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-B,PosMSMSALL-CERS5-B,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-B,PosMSMSALL-Flot2-B,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_B,PosMSMSALL-SPTLC_B,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-B,PosMSMSALL-UGCG-B,PosMSMSALL-WT_A,PosMSMSALL-WT_A,PosMSMSALL-WT_B,PosMSMSALL-WT_B
"GT3 26:4;2 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",34,0,27,0,53.99,53.9761,26.9795,46.9672,26.9965,40.9779,0,41,27,0,0,0,0,0,0,0,0,0,34,33.9985,34,41,27,27,27,0,27,27,0,0,0,0,0,0,0,0
GT3 26:4;2 (LCB 18:0;2-H2O),14.5759,14.5759,0,0,0,25.014,31.7666,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.9766,0,0,0,0,0,0
GT3 26:3;2 (LCB 18:0;2-2H2O),34,54,41,64.8792,34,0,34,27,34,30.0701,34,0,37.8792,23.0701,37.0868,28.7107,27,34,47,27,61,0,30.0794,49.3896,40.5242,21.6676,81,54,0,0,28.8773,0,0,20.7814,27,34,68,60.9681,41,68
"GT3 26:2;2 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",304.3403,358,493.2702,453,799.8233,662.2718,569.6339,595.2521,514.2737,591.6684,647.0063,561.4104,399.2702,426,446,399,162,156,169,230,412,602,365.3403,487.3418,535.6561,399.4104,581.2702,467.2702,304.2702,338,325.2702,342.6386,0,0,0,0,379,466,352,358
"GT3 26:2;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",40.159,54,46.3026,47,88,95,67.7128,101,60.5436,88,68,68,46.1111,67.1596,33.3028,40.8529,0,27,27,0,54,54,47,52.1437,60.5201,49.4484,54,41,26.7475,26.7128,27,54,0,0,0,0,41,54,47,41
GT3 26:3;2 (LCB 17:0;2-2H2O),26.6895,41,54,34,54,47,27,54,27,47,54,41,0,0,0,27,27,0,0,0,41,34,41,27,27,46.8448,0,0,0,0,0,34,0,0,0,0,0,34,0,27
"GT3 26:1;2 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",75.8932,154.157,131.9271,19.0646,0,0,0,0,58.9686,0,0,0,280.4501,142.4382,145.0503,239.8118,165.3878,188.1745,173.7724,72.0394,197.3877,238.2249,257.1601,188.6936,111.3334,277.1514,213.8204,306.7313,84.5425,10.5449,0,4.1339,0,0,0,0,34.1997,106.6624,0,12.157
"GT3 26:1;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",1.6527,0,0,1.2512,0,0,0,0,0,0,0,0,35.6923,0,62.7179,7.012,27,7.5759,14.5759,47,0,17.4162,15.2512,2.8305,0,0,44.4162,17.6823,0,0,20.5759,0,0,0,0,0,0,11.4162,0,0
GT3 27:4;2 (LCB 18:0;2-2H2O),25.7693,0,0,0,0,0,0,0,32.7693,45.9116,0,0,32.6289,35.8351,12.8463,0,0,0,0,0,0,0,0,32.2123,72.5332,55.7249,0,0,0,0,0,0,41,44.4855,0,0,0,0,0,0
GT3 28:3;2 (LCB 18:0;2-H2O),26.9911,0,0,0,0,0,4.4775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GT3 28:2;2 (LCB 18:0;2-H2O),0.279,0,0,0,0,0,13.3055,35.3848,0,0,0,0,0,0,0,0,0,0,0,11.6798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GT3 26:0;4 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",7,41,6,14,0,0,13,14,27.0114,0,30.9851,17.4568,0,0,0,34,0,0,0,0,32.8509,47,47,14,18.8509,0,8.4763,20,0,0,0,0,0,0,0,0,68.0114,54.4877,27.5286,27.4877
"GT3 29:3;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",20.7921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.392,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GT3 30:3;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",26.8861,0,0,0,0,0,0,0,0,34,0,0,28.3635,13,34,0,0,0,0,0,0,0,27,0,28.797,14.6892,0,0,0,0,0,0,27,14,0,0,0,0,0,0
GT3 30:2;3 (LCB 18:0;2-H2O),27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GT3 30:1;3 (LCB 18:0;2-2H2O),41,27,34,41,0,0,0,0,0,33.9984,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,68,68,47
GT3 30:0;3 (LCB 18:0;2-2H2O),20,41,20,47,27,0,0,27,68,7.0016,54,34,0,0,0,0,0,27,7,0,0,27,7.2139,7,0,0,41,27,0,0,0,0,10.9127,0,54,0,54,55.1653,49.1653,56.3201
GT3 32:4;2 (LCB 18:0;2-H2O),20.5286,7,6,54,0,0,0,18.7563,0,0,0,0,0,27,0,0,0,0,41,20,0,0,27,27,0,0,0,0,0,0,0,0,41,0,0,34,0,0,27,34
GT3 32:4;2 (LCB 18:0;2-2H2O),0.2585,10.6317,0,0,0,0,0,0,0,23.0022,0,0,0,0,0,0,0,0,0,13,0,0,1.7747,6.5192,0,0,0,0,0,0,0,0,0,0,4.6018,20,0,0,19.5033,3.2616
GT3 32:4;2 (LCB 18:0;2-H2O),4.3018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GT3 32:2;3 (LCB 18:2;2-2H20,LCB 18:1;3-3H2O)",27,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GT3 31:1;4 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",142,230,237,176,270,0,196,189,210,142,142,169,0,0,0,0,169,0,0,0,183,222.9633,142,142,169,155,169,223,0,0,257,304,41,0,54,47,135,196,100.349,108
