Sample Name,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-B,PosMSMSALL-CAS9-B,PosMSMSALL-CAV_A,PosMSMSALL-CAV_A,PosMSMSALL-CAV_B,PosMSMSALL-CAV_B,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_B,PosMSMSALL-CAVIN_B,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-B,PosMSMSALL-CERS5-B,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-B,PosMSMSALL-Flot2-B,PosMSMSALL-RAJU-Blank,PosMSMSALL-RAJU-Blank,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_B,PosMSMSALL-SPTLC_B,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-B,PosMSMSALL-UGCG-B,PosMSMSALL-WT_A,PosMSMSALL-WT_A,PosMSMSALL-WT_B,PosMSMSALL-WT_B
LPC O-16:4 (LPC),23,0,0,0,23,22,22,25,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,10.4698,10.7659,14.681,0,0,0,0,0,0,0,0,0
LPC O-16:4 (LPC),38,22,41,0,55,0,67,37,0,0,0,0,68,45,22,0,0,0,23,0,0,0,44,22,0,40,18.9189,20.9189,0,0,22,0,22,25,38,69,0,42,0,0,0,0
LPC 18:1 (PC 104),250.5068,343.3808,317.7296,247.5237,566.1689,553.7148,444.3485,401.7764,318.2347,322.1618,577.7877,625.6939,358.0949,427.8565,307.9834,320.4533,451.4747,482.8198,456.3318,445.2499,473.9101,491.1073,560.7963,556.1053,0,260.8186,0,331.5076,0,0,338.6892,286.9138,312.5351,392.2244,456.6988,457.079,394.5467,433.9154,595.7793,521.9183,404.9042,425.7103
LPC 18:1 (LPC),47,47,49,34,81,92,56,49,31.1324,42,45,47,37,54,30.78,39,45,72,48,45,66.8515,88,73.6288,76,0,20.1074,0,62,0,0,43,36.5695,24,49,54,42,54,30,60,89,38,74
LPC 18:1 (PC),2777.1821,2713.8813,3058.3019,2722.2903,5743.6845,5743.0671,3858.357,4010.2072,3424.6279,3499.5749,4368.0882,4274.286,2927.5918,2846.97,2885.2275,2883.5278,3794.7787,3765.4734,3698.5737,3608.383,4529.1551,4514.5548,4964.7944,5422.0397,0,1963.0915,0,2365.1507,0,0,2077.5401,2145.0153,2131.4133,2432.448,3000.9506,3029.1337,3367.3611,3143.5969,4411.9396,4353.1949,3360.7225,3080.0951
LPC O-20:0 (PC),45.673,24.3283,19.7158,27.7675,63.9265,40.8545,38.8325,43.2488,40.7598,23.9713,46.4536,34.5043,31.9713,39.8986,10.5043,14.6431,8.8986,15.0593,13.8325,6.7818,42.4982,55.8598,40.0153,23.0375,14.9493,12.7158,31.5043,19.7598,0,0,62.6898,10.9933,67.6557,68.1318,18.2488,24.5043,23.11,33.8083,55.7413,34.4378,21.5288,43.7598
LPC O-26:6 (PC),20.2296,27.6737,12.7102,26.355,20.6803,1.6411,0,0,20.5605,8.8931,24.5997,19.4625,0,0,4.725,0,0,0,0,0,22.0834,17.6033,0,20.7513,16.6055,0,0,0,0,0,0,19.8711,22.0392,9.9912,0,0,0,16.7966,19.4678,15.9788,0,0
PC 26:6 (PC),13.6252,0,12.5149,0,0,0,0,0,0,0,2.9621,32.4653,0,0,8.1938,0,24.9253,5.3185,9.7465,0,8.5172,19.659,0,13.2439,10.8553,0,0,0,0,0,0,0,38.2504,6.695,0,0,18.5414,0,0,8.2544,0,3.2049
LPC O-28:1 (PC),170.9919,153.3704,195.4262,197.9296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPC O-30:5 (PC),36.8861,32.4106,42.4826,30.0805,17.0396,0,29.0934,24.4813,28.5078,45.6908,39.0106,38.9467,0,0,0,0,0,0,0,0,0,0,0,0,27.1905,0,28.0879,27.2521,0,0,0,0,0,0,0,0,0,0,16.8123,43.584,16.2492,20.9969
LPC O-30:0 (LPC),16.0431,0,17.0044,25.8199,13.2599,22.8242,0,30.7497,19.8817,18.0598,32.2983,43.1456,37.1988,54.8124,36.1453,38.086,26.4933,8.4584,29.3237,10.1086,39.0352,28.9545,31.0374,19.305,31.7284,28.1412,40.5238,36.813,0,0,24.946,32.5238,16.0669,52.8919,12.2607,32.2004,14.8779,0,32.864,13.0956,0,28.5346
LPC O-30:0 (PC),1932.6828,0,2091.632,2136.9987,2165.4814,2330.4935,1944.3505,1772.1887,2810.7093,2578.7659,3149.2739,2798.1649,5120.2449,5112.4813,5784.0188,5703.6288,3204.4418,2887.1858,3666.0853,3550.55,4726.6537,4623.3073,4232.3482,4608.1664,3582.3751,3715.9852,4354.5713,4370.1839,0,0,2433.4602,2950.7295,3663.4443,4102.2988,2145.624,2193.59,1833.5349,2010.1994,2931.5406,2728.7836,1988.4173,2184.5191
LPC 30:4 (PC),137.016,146.4881,144.6502,156.311,301.0645,247.4404,101.1582,94.4159,154.0387,155.2873,117.4064,125.3335,76.5999,85.4973,71.1956,45.8656,75.4518,85.7325,79.4609,54.8958,83.569,73.4891,96.33,92.2339,53.8093,77.0831,107.3226,105.9521,0,0,133.3419,150.4956,159.2431,124.6046,104.5893,78.8351,121.8734,69.0708,82.0886,75.018,51.7459,64.1704
PC 30:10 (PC),9.5279,19.7134,0,3.8186,0,0,7.0013,15.7113,0,0,0,0,0,11.4092,28.1951,14.2997,4.5901,18.0554,3.3534,14.1224,24.3712,7.2439,0,4.9102,61.6697,0,0.7775,13.4123,0,0,0,0,0,3.9124,0.8303,0,0,33.0022,12.2328,2.5182,0,0
LPC 30:3 (PC),53.6614,48.2131,85.0389,48.4653,16.2552,29.0551,42.1908,13.9389,31.1397,26.7093,36.4454,35.5999,36.9967,35.2074,31.6493,35.2111,23.0556,34.0783,48.8912,54.5656,29.1652,26.3729,17.4188,22.4488,1.0595,31.6862,108.792,50.6056,0,0,39.4156,34.6736,39.464,40.9798,32.8513,36.557,30.6948,9.7419,53.2681,34.0529,40.0048,29.1561
PC 30:9 (PC),156.3097,140.5372,181.2137,186.1735,110.9269,105.9801,114.155,96.9424,158.2052,167.2852,142.4422,217.6904,113.1897,80.38,126.2747,152.8534,143.4243,72.0941,128.9057,113.3281,145.7106,153.4254,151.2198,165.2321,111.1958,102.7199,77.5247,97.1607,0,0,90.6204,78.5862,101.0395,109.6247,92.4089,93.3301,80.1009,78.374,145.5913,133.3489,144.2946,102.2283
PC O-30:2 (PC),221.7957,247.0634,261.6413,260.6972,198.7751,156.7903,158.3937,143.362,188.9051,138.9493,181.1818,163.8826,110.7899,156.0155,148.3155,142.0672,158.4436,161.1188,135.3785,135.221,166.0286,201.9835,131.3198,162.6135,211.9579,161.661,258.2506,304.5998,0,0,118.4915,142.0251,111.2277,136.7973,114.5221,169.7032,95.8649,120.7971,198.3129,225.0982,164.0377,216.2688
PC 30:8 (LPC),32,47,54,41,30,37,32,28,19,48,27,43,27,49,30,30,28,41,40,61,42,37,45,34,51,42,0,38,0,0,23,23,32,35,25,32,39,42,35,47,35,28
PC 30:8 (PC),5466.7016,5305.3323,5769.8879,5563.5455,4457.0117,4627.2461,4014.091,4094.4847,4851.3485,4565.0651,5566.168,5353.789,3973.0259,3946.9129,4041.6774,4318.2276,4391.6523,3788.4811,4917.4298,5131.4149,5658.3642,5329.6074,5052.2328,5654.6918,3197.677,3288.2688,3702.789,3702.4894,0,0,2523.1149,2282.1261,3005.3282,3031.4508,3913.014,4080.404,3811.9633,3742.21,4964.8138,5496.6235,4496.3826,4419.2704
PC O-30:1 (PC 104),22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,24,0
PC 30:8 (LPC),16.7721,18.6966,12.928,19.9268,13.8489,5.0803,7.7721,14.9256,12.771,4.1582,24.464,1.8501,0,12.6198,27.8489,20.8489,0,0,15.4652,0,12.3884,24.0803,12.7733,25.6954,4.5431,0,51,30.5419,0,0,0,10.6175,0,4.157,19.5407,10.7721,2.0035,0,13.157,4.6966,0,7.9256
LPC 30:1 (PC),2114.6124,2296.8358,2438.9715,2208.6073,1313.5499,1138.6319,1285.7779,1157.3604,1494.7176,1412.3612,1379.0015,1574.9212,1229.5437,1373.3373,1500.1344,1358.9016,1145.5334,1096.577,993.6672,980.7482,1661.1434,1766.5182,1461.787,1928.9628,1678.4508,1738.2552,2424.8657,2431.5647,0,0,1138.3878,1313.304,1579.5293,1793.9348,945.3974,966.8775,751.3924,871.8376,1744.3344,1547.956,1369.6826,1602.1508
PC O-30:0 (PC 104),12.9068,0,21.1568,30,33,0,27,32,27,39,44,30.5163,0,33,32,25,25,25,28,0,21.3169,0,0,9.1521,0,33,0,37,0,0,39,21.3169,28.5031,30.6764,0,0,22,12.9068,35,22.6764,16.8074,23
LPC 30:0 (LPC),75.0412,49.3715,92.722,80.994,61.9231,39.1546,45.8866,43.8349,62.1978,61.3676,41.6703,38.643,18.841,55.6581,40.8827,52.2402,39.687,10.6845,10.5126,34.6038,53.8609,54.3366,48.1916,64.9291,56.6983,50.5305,17.5431,29.6645,0,0,62.4572,64.741,92.0709,97.3707,37.629,21.2715,54.914,28.5305,54.5254,66.2318,35.6088,42.4201
PC 30:7 (PC),10392.1703,10349.9418,11549.34,10934.2847,6892.0047,7084.9505,6003.8025,6438.6871,7655.9909,7636.1279,8003.4962,8547.6107,7560.1007,7866.4329,9155.1108,9151.2693,4705.8955,4743.9257,5061.7247,5106.7668,9644.8883,9781.5745,9649.9588,10014.3153,6113.5997,6510.6446,7200.7854,7495.4444,0,0,10066.0633,9941.6314,12797.9835,13452.1998,5576.835,6362.5309,5579.775,5561.6613,8439.8628,7980.5701,7224.2662,6969.8314
PC O-32:9 (PC 104),42,25,39,25,0,0,0,30,0,23,39,24,23,0,0,0,0,0,32,32,42,27,27,29,23,30,0,23,0,0,24,0,0,0,0,0,29,37,0,35,0,0
PC O-32:9 (LPC),72,72,94,111,57,65,57,59,115,108,101,93,101,106,54,81,59,70,45,62,76,92.5031,84,84,71,64,72,33,0,0,47,42,49,34,57,50,45,67,17,71,49,59
PC O-32:9 (PC),11696.1103,11623.0666,13218.1565,12006.0175,7717.285,8085.643,7175.8686,6833.0627,11100.9552,10873.6577,12337.7515,12938.0172,9623.617,8995.9671,10081.7201,9969.1073,7757.0674,6806.39,8467.4252,8187.322,12502.5043,12098.5574,11696.6833,12382.048,7518.7157,7336.2596,9199.4244,8918.1597,0,0,4640.7008,5139.7791,6192.1294,6444.3759,7283.7828,7037.07,6368.3392,6527.7805,8702.3142,8666.3711,7402.5619,7222.2108
PC 30:2 (LPC),2.4221,27.4221,0,0,5.6675,26.27,20.6675,0,29.7853,0,0,2.8785,0,1.7325,19.3166,19.4749,0,0,19.2638,8.919,2.2233,21.5504,0,19.8258,25.9718,11.8196,0,13.8601,0,0,0,14.9129,5.065,18.3104,0,14.5153,9.2638,0,42.6552,12.9718,25.065,2.5681
PC 30:1 (PC 104),42.6103,0,0,0,0,0,0,0,4.7693,0,0,0,0,0,0,0,0,0,11.1454,0,0,0,0,0,0,0,0,10.2064,0,0,1.6766,0,1.3628,0,0,0,0,0,0,0,0,0
