Sample Name,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-B,PosMSMSALL-CAS9-B,PosMSMSALL-CAV_A,PosMSMSALL-CAV_A,PosMSMSALL-CAV_B,PosMSMSALL-CAV_B,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_B,PosMSMSALL-CAVIN_B,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-B,PosMSMSALL-CERS5-B,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-B,PosMSMSALL-Flot2-B,PosMSMSALL-RAJU-Blank,PosMSMSALL-RAJU-Blank,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_B,PosMSMSALL-SPTLC_B,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-B,PosMSMSALL-UGCG-B,PosMSMSALL-WT_A,PosMSMSALL-WT_A,PosMSMSALL-WT_B,PosMSMSALL-WT_B
LDMPE 12:1 (-DMPE),35,35,25,33,25,25,45,42,0,0,0,0,0,0,0,0,0,0,34,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,49,57,0,0,27,0
LPE 18:4 (-PE),33,23,27,25,35,0,0,30,28,23,0,0,0,0,0,0,22,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,23,0,0,0,23,28,0,0,0,0
LMMPE O-18:4 (-MMPE),44,47,35,42,55,38,23,44,50,50,32,34,34,25,0,0,32,27,25,39,32,39,23,40,29,0,54,55,0,0,32,0,45,47,0,0,42,38,0,0,0,0
LDMPE 16:4 (-DMPE),40,32,15,28,47,25,23,0,42,45,30,0,0,23,0,25,29,0,28,25,23,29,0,0,27,23,0,33,0,0,37,0,34,42,0,0,23,41,0,0,0,0
LPE O-22:1 (LPE p),15.4028,0,14.9703,7.5334,40.889,53.4071,0,0,98.4283,107.84,15.2084,0,111.7261,140.6223,58.7004,77.7059,29.8685,0,0,27.0448,24.3607,22.4782,81.043,89.2106,0,106.9998,0,0,0,0,44.7204,64.0374,0,28.3344,130.1683,136.9638,0,0,0,0,0,0
LPE 22:4 (-PE),116,120,176,123,170,150,128,101,201,233,285,294,106,96,137,111,111,99,99,101,182,191,113,130,121,79,133,130,0,0,226,272,365,367,309,341,206,160,202,169,116,96
LPE 22:4 (LPE p),118.8667,145.5149,183.4787,120.0544,286.28,214.1666,32.2101,39.0957,373.9955,405.1302,60.0417,60.9721,422.071,453.5275,409.4573,357.134,126.2368,101.145,68.5591,83.2662,122.1053,159.3523,290.5589,326.2481,771.3582,830.1946,86.6383,77.1113,0,0,153.0035,127.8084,102.4179,65.5455,479.5284,625.5966,96.5271,113.1494,0,22,21.0113,43.0782
LMMPE O-22:4 (-MMPE),47,35,33,25,44,32,32,30,39,57,28,32,23,22,0,0,30,0,0,34,40,32,0,0,0,0,40,38,0,0,28,0,37,40,0,0,45,55,42,44,20,27
PE O-22:0 (-PE),44,40,0,27,57,35,25,35,0,39,0,0,47,59,40,44,0,0,0,0,0,0,38,33,44,67,0,0,0,0,0,0,0,0,45,51,0,0,0,0,0,0
LPE 22:0 (LPE p),32.9214,32.6422,32.4641,16.097,45.4866,50.9916,0,0,55.5566,71.0658,0,30.0542,68.3855,119.7073,160.6821,80.0342,21.9579,14.2985,0,0,28.5329,19.1086,79.7135,76.4746,133.3046,197.327,0,18.6851,0,0,0,19.0743,11.1657,18.2777,49.7259,153.8273,13.0588,8.9865,0,0,0,0
