Sample Name,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-B,PosMSMSALL-CAS9-B,PosMSMSALL-CAV_A,PosMSMSALL-CAV_A,PosMSMSALL-CAV_B,PosMSMSALL-CAV_B,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_B,PosMSMSALL-CAVIN_B,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-B,PosMSMSALL-CERS5-B,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-B,PosMSMSALL-Flot2-B,PosMSMSALL-RAJU-Blank,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_B,PosMSMSALL-SPTLC_B,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-B,PosMSMSALL-UGCG-B,PosMSMSALL-WT_A,PosMSMSALL-WT_A,PosMSMSALL-WT_B,PosMSMSALL-WT_B
PG 34:7 (-PG (NH4)),50,91,54,49,49,37,25,37,32,39,44,40,37,65,41,35,28,40,25,34,79,65,23,35,51,49,67,74,0,23,34,27,25,0,27,35,32,84,82,89,72
PG 34:6 (-PG (NH4)),69,69,62,96,106,108,96,72,76,77,94,116,143,126,113,93,82,54,70,84,120,106,101,91,103,87,113,137,0,54,62,45,79,79,89,81,73,130,135,91,118
PG 34:6 (-PG (NH4)),32,0,39,29,37,39,0,32,54,37,57,40,37,33,30,30,39,37,37,39,57,52,37,40,30,35,40,59,0,0,22,27,28,27,47,47,32,27,76,39,47
PG 34:5 (-PG (NH4)),47,29,54,25,59,69,32,45,35,40,37,17,52,49,49,47,30,23,42,34,38,49,57,23,54,57,45,57,0,34,47,37,37,82,42,32,40,34,44,0,0
PG 34:4 (-PG),148,245,165,213,578,543,347,373,368,319,345,402,273,194,169,211,297,289,202,201,182,219,164,206,207,179,402,260,0,422,626,351,463,275,287,301,301,209,258,198,201
PG 34:4 (-PG),65,57,66,74,245,235,136,150,88,121,184,127,72,96,78,77,87,108,69,88,126,125,86,81,76,62,135,89,0,155,159,135,155,96,106,123,116,77,94,50,55
PG 34:3 (-PG),27,0,24,27,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,22,0,0,0,0,0,0,0,0,0,0,25,0,0,0,12,0,0,0,25
PG 34:2 (-PG),25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
PG 34:1 (-PG),74,84,74,54,76,69,76,45,57,40,67,64,79,62,71,79,64,61,56,54,82,79,62,100,50,72,77,49,0,39,42,47,48,86,57,59,82,72,57,42,39
PG O-36:7 (-PG),69,34,60,54,64,57,64,71,54,56,52,49,55,47,33,55,43,44,40,69,69,79,30,81,42,59,50,59,0,35,30,32,35,44,47,34,47,45,35,30,32
PG O-36:4 (-PG (NH4)),27,0,28,0,34,46,24,34,35,0,0,0,23,0,23,0,24,23,0,0,30,0,0,0,0,0,0,25,0,42,47,39,28,0,0,27,24,0,23,0,0
PG 36:10 (-PG (NH4)),348,378,370,365,1043,1054,749,779,635,598,755,639,486,424,296,341,584,592,430,373,463,468,328,378,358,344,577,635,0,977,955,853,901,580,655,505,552,459,455,314,324
PG O-36:3 (-PG (NH4)),6219,6425,6568,5704,17484,18896,12718,12433,10398,10212,11769,11327,7620,7643,5947,6238,10361,9241,6339,6696,7674,7316,5300,6059,6317,5896,8758,9091,0,15492,15687,13513,14800,9344,9156,9143,9018,7039,7583,5092,5117
