Sample Name,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-B,PosMSMSALL-CAS9-B,PosMSMSALL-CAV_A,PosMSMSALL-CAV_A,PosMSMSALL-CAV_B,PosMSMSALL-CAV_B,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_B,PosMSMSALL-CAVIN_B,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-B,PosMSMSALL-CERS5-B,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-B,PosMSMSALL-Flot2-B,PosMSMSALL-RAJU-Blank,PosMSMSALL-RAJU-Blank,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_B,PosMSMSALL-SPTLC_B,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-B,PosMSMSALL-UGCG-B,PosMSMSALL-WT_A,PosMSMSALL-WT_A,PosMSMSALL-WT_B,PosMSMSALL-WT_B
Hex3Cer 34:0;3 (LCB 18:0;2-2H2O),27,0,0,0,0,3.7758,0,0,0,0,0,0,0,9.1544,11.6009,12.5437,28,19.5859,34,22,15,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,27
Hex3Cer 34:0;3 (LCB 18:0;2-H2O),105.9873,78.987,0,0,53.996,48.9975,325.5208,332.2242,32,38.9973,25,35,76.3085,80.9955,80.9975,75.9962,0,22,285.9799,320.9771,0,0,23.3922,28,0,0,0,0,0,0,0,0,0,0,146.1933,144.2931,217.985,196.8477,0,0,34.9979,26.9982
"Hex3Cer 38:3;2 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",8555.1869,8429.6689,8943,8241.4459,4931.8013,4958.7049,4517.8013,4758.8977,5367,5205.1567,5297.1567,5174,6676.4459,6525.4459,5845,6943.0603,9227.0243,8219.0905,10961.4483,10295.8422,6296.8013,6216.0603,5294,5390.7049,4141.7049,4032,4834,4586,0,0,2255,2146.3856,2813,2788,3631,3534.6085,3791.8013,4039,7474.2521,7938.2833,7090.8977,6900.4459
"Hex3Cer 38:3;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",1178.4872,1086.8544,1307.976,1112.0844,721.7967,692.6659,639.4386,552.9343,809.0301,696.7979,687.107,659.9046,897.2761,986.0779,770.6124,898.3031,1256.7732,1154.273,1495.1251,1482.5843,862.8689,854.4285,808.7854,561.5675,598.9437,585.1105,792.3094,592.3808,0,0,304.8162,266.0367,423.2974,378.5581,472.7741,498.9946,589.4822,507.3356,936.4381,1004.962,957.3551,1025.9297
Hex3Cer 38:3;2 (LCB 18:0;2-H2O),308.273,236,327,356,189,181,1794.2107,1667.2003,123,130,45,42,230,263,151,140,0,0,1033.0237,1258.423,0,0,94,127,24,33,0,0,20.0081,23.77,0,0,0,0,705.6056,702,756.9228,668.3406,0,0,141,93.3015
Hex3Cer 38:3;2 (LCB 17:0;2-2H2O),665,733,839,613,402,470,361,407,490,419,410,449,541,507,564,615,714,748,935,791,538,488,444,448.0141,390.7815,359.9144,376,427,0,0,213,172,226,221,321,321,307,265,688,617,630,572
Hex3Cer 44:0;2 (LCB 18:0;2-H2O),76.8005,57.3312,18.0566,38.4455,30.1684,36.6469,94.4577,95.4066,13.5641,16.7174,0,0,37.1007,19.7961,0,0,0,0,117.5543,146.2203,0,6.8177,15.5719,29.2097,0,0,0,0,0,0,0,0,0,0,20.2205,34.3549,46.3412,45.0662,0,0,0,3.149
Hex3Cer 46:3;4 (LCB 18:0;2-2H2O),21.1296,46,22.8389,74,8.3843,20.4365,33.9949,37,35.2572,5.2295,22.8911,0,13.4104,27.5851,24.0342,26.6688,5.3586,14,0,22.9072,25.5721,0,7.8535,0,23.1041,10.4888,0,21.2728,151,111,0,7,24.5292,51.9454,52.6357,38.3372,19.2,32,0,0,21.9072,0
"Hex3Cer 46:3;4 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",10.0888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,13.5669,0,0,0,0,0,1.292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hex3Cer 48:2;2 (LCB 18:0;2-H2O),113.1283,96.9146,63.8286,104.624,24.817,36.6152,140.559,182.6693,54.873,70.7131,36.0058,0,44.975,28.6083,0,22,29,0,94.3781,146.6514,0,0,49.0031,75,0,0,0,0,0,0,0,0,24,36,38.4592,42.9852,153.1071,114.5834,0,28,19.5727,59
"Hex3Cer 48:1;2 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",24.9926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9943,0,0,0,0,0,0
Hex3Cer 48:0;2 (LCB 18:0;2-2H2O),20.5156,10.7172,0.7078,0,0,0,0.4026,0,16.7385,23.3641,18.4185,26.0769,23.9517,13.8401,30.1001,0,0,14.8704,13,11.4097,1.6471,15.1819,19.0115,24.603,23.6653,55.1813,22.989,0,0,0,19.7092,25.9352,6.3734,0,10.2402,3.8508,6.6907,0,51.9839,64,37.1332,30
"Hex3Cer 46:1;4 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",16.8724,0,0,20.9244,0,0,23.0736,0,26.6025,1.1271,0,0,15.1452,8.2495,10.2912,0,0,32.9986,0,14.6457,10,0,0,9.5371,0,0,0,0,0,0,0,0,0,0,0,12.7803,0,24.1469,8,0,22,23.5204
Hex3Cer 48:0;2 (LCB 18:0;2-H2O),52.6028,0,34.3199,23.2175,25.7936,8.0269,71.514,46.6838,4.313,0,0,0,0,12.9665,0,0,0,0,53.3978,58.7691,0,0,16.2759,0,0,0,0,0,0,0,0,0,0,0,8.5898,32.0223,44.5189,62.6652,0,0,0,3.6715
Hex3Cer 46:0;4 (LCB 18:0;2-2H2O),35.1934,59.1792,43.0071,51.636,25.4245,0,21.7164,0,19.319,17.1241,18.9449,27.7236,14.2689,9.5502,8.1749,22.9523,41.4371,22.1255,29.594,35.0114,21.9376,35.4052,30.0815,33.4649,23.7717,13.0279,35.3665,37.7418,0,0,17.8135,19.1964,8.45,9.129,8.915,16.8424,16.0716,39.594,0,12.6934,3.6933,25.2938
Hex3Cer 46:0;4 (LCB 18:0;2-H2O),26.6374,39.367,10.5425,21.3617,0,0,53.7528,66.4139,18.8088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,23.0161,22.4486,0,0,0,0,0,0
Hex3Cer 48:4;4 (LCB 18:0;2-2H2O),25,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,5.4381,0,35,23,0,0,0,0
Hex3Cer 48:4;4 (LCB 18:0;2-H2O),76.2193,48.8165,44.0004,43.3778,8.7361,22.7369,57.229,84.5374,37.461,20.2738,19.2602,9.8234,11.2081,27.7413,0,5.0773,0,0,58.8996,71.6676,28,22,15.9515,15.1385,0,0,22,0,0,0,0,0,0,0,7.4158,51.6581,103.1075,80.2147,0,27,38.0165,30.3113
"Hex3Cer 48:0;4 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",21.3738,0,25.754,0,0,21.3673,0,16.0997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.2322,23.3919,0,0,0,0,0,20.8208,5.6059,26.7322,0,0,0,0,0,0,0,0,0
