Sample Name,Head Group,Acyl Chain Length,Unsaturation,Head Group 2,Unsaturation 2
Hex2Cer 26:3;2 (LCB 18:0;2-2H2O),Hex2Cer,26,3,Hex_Cer,>=3
Hex2Cer 26:2;2 (LCB 18:0;2-2H2O),Hex2Cer,26,2,Hex_Cer,2
Hex2Cer 26:2;2 (LCB 18:0;2-H2O),Hex2Cer,26,2,Hex_Cer,2
Hex2Cer 26:0;2 (LCB 18:0;2-2H2O),Hex2Cer,26,0,Hex_Cer,0
Hex2Cer 26:0;2 (LCB 18:0;2-H2O),Hex2Cer,26,0,Hex_Cer,0
Hex2Cer 26:4;3 (LCB 18:0;2-H2O),Hex2Cer,26,4,Hex_Cer,>=3
"Hex2Cer 26:4;3 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",Hex2Cer,26,4,Hex_Cer,>=3
"Hex2Cer 26:3;3 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",Hex2Cer,26,3,Hex_Cer,>=3
Hex2Cer 26:3;3 (LCB 18:0;2-H2O),Hex2Cer,26,3,Hex_Cer,>=3
Hex2Cer 26:2;3 (LCB 18:0;2-H2O),Hex2Cer,26,2,Hex_Cer,2
Hex2Cer 26:0;3 (LCB 18:0;2-2H2O),Hex2Cer,26,0,Hex_Cer,0
Hex2Cer 28:2;2 (LCB 18:0;2-H2O),Hex2Cer,28,2,Hex_Cer,2
Hex2Cer 28:0;2 (LCB 18:0;2-H2O),Hex2Cer,28,0,Hex_Cer,0
Hex2Cer 26:1;4 (LCB 17:0;2-2H2O),Hex2Cer,26,1,Hex_Cer,1
Hex2Cer 26:0;4 (LCB 18:0;2-2H2O),Hex2Cer,26,0,Hex_Cer,0
"Hex2Cer 26:0;4 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",Hex2Cer,26,0,Hex_Cer,0
Hex2Cer 28:3;3 (LCB 18:0;2-H2O),Hex2Cer,28,3,Hex_Cer,>=3
Hex2Cer 28:2;3 (LCB 18:0;2-2H2O),Hex2Cer,28,2,Hex_Cer,2
"Hex2Cer 28:1;3 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",Hex2Cer,28,1,Hex_Cer,1
"Hex2Cer 28:2;4 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",Hex2Cer,28,2,Hex_Cer,2
Hex2Cer 30:0;2 (LCB 18:0;2-H2O),Hex2Cer,30,0,Hex_Cer,0
Hex2Cer 28:1;4 (LCB 18:0;2-2H2O),Hex2Cer,28,1,Hex_Cer,1
"Hex2Cer 28:1;4 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",Hex2Cer,28,1,Hex_Cer,1
"Hex2Cer 28:1;4 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",Hex2Cer,28,1,Hex_Cer,1
Hex2Cer 28:1;4 (LCB 17:0;2-2H2O),Hex2Cer,28,1,Hex_Cer,1
"Hex2Cer 28:0;4 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",Hex2Cer,28,0,Hex_Cer,0
"Hex2Cer 28:0;4 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",Hex2Cer,28,0,Hex_Cer,0
"Hex2Cer 31:4;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",Hex2Cer,31,4,Hex_Cer,>=3
Hex2Cer 31:4;2 (LCB 18:0;2-H2O),Hex2Cer,31,4,Hex_Cer,>=3
"Hex2Cer 32:4;2 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",Hex2Cer,32,4,Hex_Cer,>=3
Hex2Cer 32:2;3 (LCB 18:0;2-2H2O),Hex2Cer,32,2,Hex_Cer,2
Hex2Cer 32:1;3 (LCB 18:0;2-2H2O),Hex2Cer,32,1,Hex_Cer,1
"Hex2Cer 34:2;2 (LCB 18:2;2-2H20,LCB 18:1;3-3H2O)",Hex2Cer,34,2,Hex_Cer,2
"Hex2Cer 34:1;2 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",Hex2Cer,34,1,Hex_Cer,1
Hex2Cer 34:0;2 (LCB 18:0;2-H2O),Hex2Cer,34,0,Hex_Cer,0
"Hex2Cer 35:2;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",Hex2Cer,35,2,Hex_Cer,2
"Hex2Cer 34:2;3 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",Hex2Cer,34,2,Hex_Cer,2
Hex2Cer 34:2;3 (LCB 18:0;2-2H2O),Hex2Cer,34,2,Hex_Cer,2
Hex2Cer 35:1;2 (LCB 18:0;2-2H2O),Hex2Cer,35,1,Hex_Cer,1
"Hex2Cer 35:1;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",Hex2Cer,35,1,Hex_Cer,1
Hex2Cer 35:1;2 (LCB 18:0;2-H2O),Hex2Cer,35,1,Hex_Cer,1
Hex2Cer 34:1;3 (LCB 18:0;2-2H2O),Hex2Cer,34,1,Hex_Cer,1
Hex2Cer 35:0;2 (LCB 18:0;2-H2O),Hex2Cer,35,0,Hex_Cer,0
"Hex2Cer 36:3;3 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",Hex2Cer,36,3,Hex_Cer,>=3
Hex2Cer 36:3;3 (LCB 18:0;2-2H2O),Hex2Cer,36,3,Hex_Cer,>=3
"Hex2Cer 37:2;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",Hex2Cer,37,2,Hex_Cer,2
Hex2Cer 36:2;3 (LCB 18:0;2-2H2O),Hex2Cer,36,2,Hex_Cer,2
Hex2Cer 37:1;2 (LCB 18:0;2-H2O),Hex2Cer,37,1,Hex_Cer,1
Hex2Cer 36:1;3 (LCB 18:0;2-2H2O),Hex2Cer,36,1,Hex_Cer,1
Hex2Cer 37:0;2 (LCB 18:0;2-H2O),Hex2Cer,37,0,Hex_Cer,0
Hex2Cer 36:0;3 (LCB 18:0;2-H2O),Hex2Cer,36,0,Hex_Cer,0
Hex2Cer 38:4;2 (LCB 18:0;2-H2O),Hex2Cer,38,4,Hex_Cer,>=3
Hex2Cer 29:0;2 (LCB 18:0;2-H2O),Hex2Cer,29,0,Hex_Cer,0
"Hex2Cer 28:0;3 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",Hex2Cer,28,0,Hex_Cer,0
"Hex2Cer 27:0;4 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",Hex2Cer,27,0,Hex_Cer,0
Hex2Cer 30:1;2 (LCB 18:0;2-H2O),Hex2Cer,30,1,Hex_Cer,1
Hex2Cer 28:0;4 (LCB 18:0;2-2H2O),Hex2Cer,28,0,Hex_Cer,0
"Hex2Cer 31:4;2 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",Hex2Cer,31,4,Hex_Cer,>=3
"Hex2Cer 30:4;3 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",Hex2Cer,30,4,Hex_Cer,>=3
