Sample Name,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_B,NegMSMSALL-CAS9_B,NegMSMSALL-CAV_A,NegMSMSALL-CAV_A,NegMSMSALL-CAV_B,NegMSMSALL-CAV_B,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_B,NegMSMSALL-CAVIN_B,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_B,NegMSMSALL-CERS5_B,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_B,NegMSMSALL-Flot2_B,NegMSMSALL-RAJU-Blank,NegMSMSALL-RAJU-Blank,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_B,NegMSMSALL-SPTLC_B,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_B,NegMSMSALL-UGCG_B,NegMSMSALL-WT_A,NegMSMSALL-WT_A,NegMSMSALL-WT_B,NegMSMSALL-WT_B
"OAHFA_18:2/ 18:2 (FA 18:2,18:2 FA)",72.6724,36.0659,69.2903,92.9793,44.3302,18.411,99.2482,48.3451,44.6016,32.021,0,0,0,0,92.765,96.3794,60.5136,42.8187,67.6524,79.2379,0,0,0,26.6508,0,0,0,0,0,0,715.4035,751.2468,0,0,106.722,138.9585,92.003,86.0007,0,0,31.4926,0
OAHFA_18:0/ 18:1 (FA 18:1),6071.5131,5278.5849,0,9817.7954,0,0,6284.8296,4714.8197,0,0,0,0,0,0,7520.2287,5366.2907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8786.6289,4834.8138,5232.4068,0,0,5479.9664,5110.3397,8821.0858,0,0,6349.6341
OAHFA_16:0/ 20:1 (16:0 FA),199.9541,238.2202,255.644,154.3773,0,0,309.7537,172.5534,0,0,0,0,0,0,169.0867,251.7046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310.8343,357.0552,332.7133,292.4061,112.216,211.0138,306.1159,242.6914,122.5033,56.1507,105.3147,136.9505
OAHFA_18:0/ 18:1 (18:0 FA),289.0697,277.5739,387.2375,397.9684,0,0,768.4631,517.1254,0,0,0,0,0,0,463.5956,364.5388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130.7226,753.6213,742.3464,695.806,106.5369,475.5078,382.3765,290.5261,243.324,100.6104,128.61,77.3755
OAHFA_18:2/ 20:2 (18:2 FA),44.1744,73.1934,69.6887,41.3641,24.5842,0,58.0742,75.7607,0,0.9938,0,0,0,0,54.8334,36.3291,31.9341,0,26.6279,53.0206,0,0,0,0,0,0,0,0,0,0,259.2168,196.9737,116.5281,124.1231,66.4074,85.2006,46.5175,39.6143,0,0,20.143,0
OAHFA_16:0/ 30:2 (16:0 FA),167.0542,152.025,8.9557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.1923,8.883,0,0,0,0,46.8619,0,0,0,0,0,0,0
OAHFA_16:1/ 30:1 (16:1 FA),13.8039,4.0061,6.7862,22.9906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.1225,0,0,0,0,0,0,0,0,0,0,0
OAHFA_18:0/ 28:2 (18:0 FA),175.4473,103.6372,138.6719,120.1564,145.7471,141.5693,164.5695,199.4658,113.2626,143.3682,95.2262,111.4696,72.2481,65.827,106.0411,0,131.8235,58.4864,99.8907,127.8812,133.1611,153.2996,152.9278,129.5716,80.5185,178.1016,109.3899,188.6676,209.122,138.4163,101.0084,0,0,0,167.5402,0,0,0,180.4937,0,0,150.9206
OAHFA_18:0/ 34:1 (18:0 FA),3630.5356,3031.7623,3406.6803,3520.091,3337.767,3304.9916,2657.3476,2731.6375,3004.7819,2362.0765,2108.0835,2574.4521,1326.7267,1131.8185,2025.9805,1541.4771,1667.3338,1707.0071,2131.1013,2473.7909,3314.3293,3349.9763,2474.436,3726.0571,2610.0534,1024.0975,2131.2541,2142.9488,878.2164,674.8562,964.2067,807.7846,922.1588,1038.2678,1769.2934,1853.255,1677.4441,1054.904,3356.8141,0,2354.7844,3052.7773
OAHFA_18:0/ 16:1 (FA 16:1),0,0,2064.2539,0,0,0,0,331.1743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,708.3018,0,410.5921,383.1193,0,0,434.5166,0,3049.2262,0,0,2091.0207
