Sample Name,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_B,NegMSMSALL-CAS9_B,NegMSMSALL-CAV_A,NegMSMSALL-CAV_A,NegMSMSALL-CAV_B,NegMSMSALL-CAV_B,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_B,NegMSMSALL-CAVIN_B,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_B,NegMSMSALL-CERS5_B,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_B,NegMSMSALL-Flot2_B,NegMSMSALL-RAJU-Blank,NegMSMSALL-RAJU-Blank,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_B,NegMSMSALL-SPTLC_B,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_B,NegMSMSALL-UGCG_B,NegMSMSALL-WT_A,NegMSMSALL-WT_A,NegMSMSALL-WT_B,NegMSMSALL-WT_B
PG O-24:4 (FA 12:2),21.7077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
PG O-24:4 (PG),74,57,67,49,79,121,57,49,61,99.9923,62,70,50.8378,64,59,0,91,69,59,59,63.9692,25,62,82,75.997,62,84,76,0,0,66.9621,89,71,91,35,79,86,55,63.9928,40,57,42
PG 24:3 (FA 12:2),22,23,22,0,0,0,50,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
PG 24:3 (FA 12:1),42.4854,0,55.741,0,0,0,72.5202,35.2297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG 24:2 (FA 12:1),15.5198,0,0,0,0,0,18.4572,11.0127,0,0,0,0,0,0,0,20.515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG O-32:4 (PG),88.3928,63.39,0,0,0,69.8903,60.4485,39.897,104.3826,40.1992,62.3968,70.3928,0,0,55.4346,37.9415,0,54.5276,79.2131,50.3873,109.6867,79.8859,0,54.8664,0,49.5407,0,0,54,33,0,0,0,0,18.4485,0,0,0,135.7006,54.8692,97.7243,106.8525
PG 32:10 (PG),15.9766,27.2347,35.9644,0,20.8852,7.9565,8.5481,4.709,28.2437,25.189,6.7346,18.0016,31.3587,10.692,22.672,17.1379,24.4929,9.2966,48.0178,5.4762,28.0974,15.5468,26.8692,43.1452,36.446,46.4525,25.0372,27.0536,0,0,9.0333,7.4596,0,17.9663,23.6066,9.1036,23.0369,5.2274,0,38.4219,16.9417,0
PG O-32:3 (PG),14.569,3.3446,21.7239,25.8646,28.2548,26.9249,24.2861,34.0431,16.8747,12.8866,17.7616,6.0559,13.2106,0,16.6245,0,3.1396,13.7254,17.294,16.0063,23.5194,66.8286,42.4608,47.0812,13.5037,0,14.6108,30.002,0,18.4541,14.2934,0,0,0,17.5744,0,10.3478,0,0,0,0,0
PG O-32:0 (FA 16:0),123.8611,0,0,0,0,0,96.4581,85.3069,0,0,42.0062,0,0,0,0,0,0,0,0,0,0,0,267.0506,348.0821,0,0,0,0,0,0,0,0,0,0,687.1201,809.3532,114.7461,0,0,0,43.3549,0
PG 32:4 (PG),95.8858,126.9698,167.0742,156.2014,64.1895,53.9617,56.3651,47.233,117.9948,100.4754,97.4828,86.135,92.1517,57.9471,109.9165,88.9996,84.3928,60.2571,134.5576,103.9665,124.3796,129.8589,105.3967,132.7428,151.2945,83.9109,71.4686,80.9221,0,0,27.3699,31.5159,20.2744,37.999,85.4167,72.8875,92.9566,39.3628,128.7327,0,89.4828,103.5012
PG 32:4 (PG),71.6213,45.965,36.2379,10.414,0,0,3.7592,16.1873,6.062,18.2436,33.0098,26.5718,0,0,11.3035,26.8295,22.0266,47.3982,13.826,25.964,24.6413,47.6842,60.9815,63.597,18.4582,42.0809,0,0,0,0,17.7593,24.0614,0,0,0,0,0,0,16.5859,0,37.7745,63.3638
PG 32:3 (FA 16:2),25,0,0,0,0,0,0,0,0,0,0,0,21.9978,0,17.4639,0,19.1636,0,0,11.1408,22,23,0,0,18.4639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG 32:3 (FA 16:1),3851.4475,0,0,0,0,0,0,0,0,0,0,0,4935.7365,4269.4495,6817.1412,0,6563.2965,0,0,8638.1042,7050.7012,6837.4793,0,0,5304.5023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG O-34:9 (PG),9.4524,8.938,13.6801,0,16.135,11.2719,11.0631,13.1369,0,26.7279,0,19.0067,17.5093,7.3061,11.2511,6.1588,16.0771,26.7975,25.5619,3.4119,16.0448,22.7379,9.9022,19.6813,0,0,0,14.6504,0,0,0,0,0,0,0,0,0,0,7.4163,23.0483,8.4171,27.6578
PG 32:2 (FA 14:0),27.0027,20.8536,11.0568,15.048,0,0,0,0,6.5213,0,0,0,26.3719,15.831,26.1806,0,8.7084,0,0,6.8941,26.2471,0,29.759,19.8059,8.6509,0,21.0286,0,0,0,0,0,16.8313,0,0,0,0,0,31.1879,0,19.2558,17.2606
PG 32:2 (FA 18:2),27.1606,0,0,41.4132,0,13.9352,0,0,15.4994,0,14.1543,0,10.7666,21.9088,30.8729,0,0,0,36.5688,27.7341,53.6738,45.2359,21.657,42.1939,0,35.9795,0,22.2756,0,0,0,0,65.1891,0,0,0,0,0,0,23.3274,0,37.5771
PG O-34:6 (PG),40.1471,16.3141,48.0461,35,46.9898,29.9929,28.6151,43.9917,19.0041,25.8476,31.2076,40.7541,31.9889,24.9069,33.488,23.422,49.9898,34.7697,41.4608,44.0809,30.432,28.87,24.0899,27.4026,51.8559,0,16.9568,32.5128,0,0,0,25,0,0,24,45,22.3721,0,54.5278,56.9854,28.1245,37.1109
PG O-34:6 (PG),30.6377,23.0571,23.5941,22.055,7.9077,24.6222,0,7.4448,7.6133,0,0,0,0,14.218,15.6989,16.9826,0,6.1388,4.6251,14.6128,5.6969,0,0,14.0394,6.3934,0,12.9012,0,0,0,0,20.1821,0,0,0,0,14.5932,29,8.1456,0,16.8278,0
PG 34:10 (PG),9.5804,0,2.5829,0,0,0,0,0,0,0,14.4823,0,0,0,0,0,0,0,0,13.434,9.1223,0,0,9.7832,0,0,0,10.0065,0,0,0,0,0,0,0,0,0,0,2.7212,14.8189,0,0
PG 34:5 (FA 14:0),121.8409,118.5064,131.0522,0,112.8762,102.9474,115.1295,105.0622,195.8756,175.4205,173.2635,129.7639,0,0,209.0862,232.1726,175.6872,176.8437,315.4237,236.6681,161.0036,204.4436,200.2933,226.1485,0,0,172.2592,0,0,0,0,0,0,0,121.5243,0,111.9262,122.1811,0,0,0,0
PG 34:5 (FA 20:5),39.0268,33.2765,9.4214,0,19.6067,31.7639,65.1314,60.8448,0,0,0,3.4472,0,0,54.0158,30.2426,14.6215,0,36.7966,4.2992,0,14.9566,15.6303,32.7519,0,0,15.0464,0,0,0,0,0,0,0,0,0,22.6587,15.6701,0,0,0,0
PG 34:5 (PG),26.8926,25,0,0,0,0,0,0,0,0,0,21.909,23.9829,24.9802,0,0,0,21.934,29.9499,18.1132,0,0,0,26.9504,0,0,0,0,0,0,23.8699,30.5502,0,0,0,0,0,22,0,0,0,0
