Sample Name,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-B,PosMSMSALL-CAS9-B,PosMSMSALL-CAV_A,PosMSMSALL-CAV_A,PosMSMSALL-CAV_B,PosMSMSALL-CAV_B,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_B,PosMSMSALL-CAVIN_B,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-B,PosMSMSALL-CERS5-B,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-B,PosMSMSALL-Flot2-B,PosMSMSALL-RAJU-Blank,PosMSMSALL-RAJU-Blank,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_B,PosMSMSALL-SPTLC_B,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-B,PosMSMSALL-UGCG-B,PosMSMSALL-WT_A,PosMSMSALL-WT_A,PosMSMSALL-WT_B,PosMSMSALL-WT_B
Erg 13:0+NH4 (Erg),71.9999,83.9969,50,39.967,36.6233,49.9507,38.9326,43.9607,29.4645,38.7411,0,0,16.928,18.1899,0,0,0,0,36.2834,67.2613,0,0,0,0,20.1368,0,0,0,0,0,0,0,0,0,0,0,108.5454,121.1646,0,0,0,25
CE 14:1+NH4 (Chol),56,44,57,66.9939,44.9895,66.9915,20.7405,46.9411,93.9919,97.9915,71,75.9956,25,42,49,34,26.9946,61,31.9288,0,69,50,55,32,57,67,54,63.9946,0,0,21.9889,0,0,0,0,24,0,0,204,177,179,135
Des 14:0+NH4 (Des),0,4.6358,16.8543,10.6897,0,0,0,0,64.1825,46.4598,81.8845,59.9899,0,0,39.4738,49.1311,50,33,0,0,75.5501,52.3419,30.322,58.3516,46.5799,49.9372,82,59,0,0,28,35,37,34.9952,0,0,0,0,64.6021,82.0933,40.7483,41.1974
Des 14:0+NH4 (Des),59.909,20.5485,4.1554,33.3475,34.7311,60.0427,120.3117,86.2871,0,1.3437,0,0,64.3242,57.5579,5.8584,0,0.1458,0,114.013,99.7278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.5869,48.1426,168.3456,182.3479,0,0,10.9443,15.3308
CE 14:0+NH4 (Chol),584.1521,728.1195,717.1952,644.685,652.2585,802.6862,479.9613,495.6569,1010.2593,1077.1505,980.6928,958.8103,355.5679,381.1141,413.6331,415.0923,388.576,300.6657,251.1223,253.0792,514.6874,487.1358,411.6494,408.0869,723.7199,631.682,661.1467,701.2615,0,0,141.0653,145,181,177,263,300.0652,0,279.5267,1346.3316,1572.5965,1125.3546,1163.6753
CE 15:0+NH4 (Chol),189.1127,238.8107,250.6213,271.8158,206.173,155,106.3483,121.3612,299.5525,298.2676,296.6213,380.7246,0,127.8976,130.2997,133.1816,204,138,105.8535,135.6058,0,0,220,223,149.2676,147.7934,0,0,32,0,50.7344,49.3982,67,78,117.8358,122.8408,0,0,0,0,0,211.0955
CE 16:2+NH4 (Chol),77.2029,51.3224,126.0036,67.7626,115.9238,115.1648,62.1249,71.3641,81.6032,78.5633,82.7228,94.2029,48.5616,64.0018,48.9221,88,39.7626,66,39.0018,45.5616,91.0018,67.5616,57.0416,56.7626,50.9619,57.5616,63.5633,85.3641,0,0,51,35,64,23.9619,66,54.9619,75.9778,61.0018,98.5217,108.5217,53.0018,75.9221
Des 16:1+NH4 (Des),49.9731,60.0584,132.3891,14.8865,44.0671,63.5335,0,0,136.5931,138.6544,203.9673,181.4476,0,0,43.5777,38.6448,164,177.566,0,0,216,265,179.3994,179.1057,107.3153,109.2292,169,183.0913,0,0,116,101,113.3687,122,0,0,0,0,483,473,257.1834,269.5788
CE 16:1+NH4 (Chol),3404.9061,3434.8381,3870.2292,3277.2211,2533.5417,2494.29,1814.4082,1856.8822,2988.5837,2943.5723,3316.1977,3360.1426,1294.2682,1298.9823,1447.927,1496.3561,1343.5135,1200.6847,929.9554,925.9213,1549.1364,1789.3895,1245.8372,1290.6747,1946.6638,1675.5888,1961.9192,2069.3647,0,0,0,0,776.7246,894.9484,1125.6847,1020.1345,1212.7411,1105.4735,5233.4367,5905.1135,4095.8937,3999.8889
"Lan 13:0+NH4 (Lan,Sti)",86,116,86,108,0,33.8798,84,71,42,39,0,0,44,48.9746,26.8478,0,0,0,0,84,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,32,199,0,0,0,27,0
