Sample Name,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_B,NegMSMSALL-CAS9_B,NegMSMSALL-CAV_A,NegMSMSALL-CAV_A,NegMSMSALL-CAV_B,NegMSMSALL-CAV_B,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_B,NegMSMSALL-CAVIN_B,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_B,NegMSMSALL-CERS5_B,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_B,NegMSMSALL-Flot2_B,NegMSMSALL-RAJU-Blank,NegMSMSALL-RAJU-Blank,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_B,NegMSMSALL-SPTLC_B,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_B,NegMSMSALL-UGCG_B,NegMSMSALL-WT_A,NegMSMSALL-WT_A,NegMSMSALL-WT_B,NegMSMSALL-WT_B
SGalCer 32:4;2 (SGalCer),7,0,0,27,0,0,0,34,0,0,0,44.3407,0,0,0,41,0,0,0,0,0,0,0,0,54,142,27,0,34,34,27,41,0,0,27,0,0,0,0,0,0,0
SGalCer 32:3;2 (SGalCer),23.4027,0,0,20.1247,0,0,41,16.5274,0,0,0,3.4739,0,0,34,12.93,0,0,0,0,0,0,0,0,19.2493,0,0,0,0,0,20.1247,12.93,27,27,0,0,0,0,0,0,0,0
SGalCer 34:3;3 (SGalCer),27,0,0,0,0,0,0,0,0,27,0,0,0,0,0,34,0,0,0,0,27,7,27,0,0,0,34,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0
SGalCer 34:2;3 (SGalCer),12.5133,0,0,0,27,0,20,0,0,12.5133,27,0,0,0,7,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,27,0,0,34,0,0,0,27,0,0,0,0
SGalCer 36:2;2 (SGalCer),14,34,0,28,0,0,0,0,34,7,0,0,0,0,27,0,34,34,0,0,14,90,27,55,34,55,62,0,0,0,0,0,0,0,0,0,0,0,48,27,41,48
SGalCer 36:1;2 (SGalCer),60.1713,7.9875,61,58.3427,34,34,0,0,14.9875,37.0857,54,47,34,41,45.9018,47,54.9875,61.9875,101,68,127.1713,57.6728,25.9018,84.2445,68.9875,131.2445,33.3302,68,0,0,27,27,27,0,0,54,14,27,115.1588,0,146.0732,95.1588
SGalCer 36:1;2 (SGalCer),64.277,103.0637,121.8894,103.2238,75.9875,48.9875,74,95,52.1494,85.7241,50.8037,115.718,34.9875,38.0732,96.4003,54.718,130.7817,58.8674,126.5217,83.975,114.8112,163.977,87.5841,150.8078,122.9531,90.5259,82.7408,96.975,0,0,38.9018,18.9018,52.9018,34,122,64.8037,66.1713,58.9018,222.0587,139.4984,65.3096,146.2425
SGalCer 34:2;4 (SGalCer),402.9381,405.429,527.439,414.6619,268.0387,323.1369,188.6199,176.8769,337.3619,268.4666,453.7273,465.9657,317.9656,192.7022,367.275,365.0764,681.6035,641.2795,649.0607,432.1025,765.9601,779.8541,646.5989,644.6285,899.9054,790.0118,639.4272,559.833,0,0,202.3146,179.4984,214.4859,284.9875,445.7787,289.8987,432.9218,421.1308,878.4435,851.1068,677.754,557.2332
SGalCer 34:1;4 (SGalCer),26.9714,0,12.1143,12.6324,20.4628,12.4099,0,0,4.4877,22.3577,17.9362,9.1964,26.1771,0,8.6193,23.5921,42.0796,0,17.116,21.0338,9.6998,1.2355,5.0647,0,13.6366,36.3593,0.6701,0,0,0,0,0,0,0,4.2783,21.2397,38.25,22.6492,0,0,0,14.8087
SGalCer 36:3;3 (SGalCer),34,34,27,0,34,0,0,0,34,0,0,27,0,0,34,0,0,0,23.0857,34,34,27,0,0,0,0,0,0,0,0,0,0,0,34,0,14,0,0,47,34,41,34
