feature,class,structuralcategory,functionalcategory,totallength,totaldb,totaloh,fullname,aag2-C1,aag2-C2,aag2-C3,aag2-V1,aag2-V2,aag2-V3,BHK-C1,BHK-C2,BHK-C3,BHK-V1,BHK-V2,BHK-V3,C636-C1,C636-C2,C636-C3,C636-V1,C636-V2,C636-V3,GPMV-C1,GPMV-C2,GPMV-C3,GPMV-C4,GPMV-V1,GPMV-V2,GPMV-V3,GPMV-V4,U2OS-C1,U2OS-C2,U2OS-C3,U2OS-V1,U2OS-V2,U2OS-V3
,,,,,,,shortname,aag2C1,aag2C2,aag2C3,aag2V1,aag2V2,aag2V3,BHKC1,BHKC2,BHKC3,BHKV1,BHKV2,BHKV3,C636C1,C636C2,C636C3,C636V1,C636V2,C636V3,GPMVC1,GPMVC2,GPMVC3,GPMVC4,GPMVV1,GPMVV2,GPMVV3,GPMVV4,U2OSC1,U2OSC2,U2OSC3,U2OSV1,U2OSV2,U2OSV3
,,,,,,,cohort,Aagcontrol,Aagcontrol,Aagcontrol,Aagvirus,Aagvirus,Aagvirus,BHK21control,BHK21control,BHK21control,BHK21virus,BHK21virus,BHK21virus,C636control,C636control,C636control,C636virus,C636virus,C636virus,GPMVcontrol,GPMVcontrol,GPMVcontrol,GPMVvirus,GPMVvirus,GPMVvirus,GPMVvirus,GPMVvirus,U2OScontrol,U2OScontrol,U2OScontrol,U2OSvirus,U2OSvirus,U2OSvirus
CE 10:0;0,CE,STE,STO,10,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0741038563937314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CE 11:0;0,CE,STE,STO,11,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0524176591075997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CE 12:0;0,CE,STE,STO,12,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0495640305927089,NA,NA,0.0452932635331945,NA,0.0155629537346703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CE 13:0;0,CE,STE,STO,13,0,0,,NA,NA,0.0260035845747092,NA,NA,0.0240951180909351,NA,NA,NA,NA,0.0404320055236711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CE 14:0;0,CE,STE,STO,14,0,0,,0.104972870413266,0.149638857718788,0.249901075863426,0.102738981705462,0.144835395029586,0.245461734830584,0.0592122785496164,0.0501847807923338,0.052950343043784,0.0406205247144287,0.06126492152362,0.0626095590686571,0.38923259326707,0.39291670431936,0.316500874252007,0.39919607943783,0.297922666351192,0.299926193664575,0.2027317952109,NA,NA,NA,0.213262999932259,0.153018981733651,NA,NA,0.158798676629735,0.196080994623719,0.209552617189874,0.158983339659026,0.19841332945752,0.255143949438392
CE 14:1;0,CE,STE,STO,14,1,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0288774068005524,NA,0.0274338246032363,NA,0.0172878465014976,0.0233202145469615,0.0187062273460745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CE 15:0;0,CE,STE,STO,15,0,0,,0.073996494478064,0.117744311742287,0.177661920115064,0.0809521466293308,0.0865729226163356,0.163566551512199,0.0456093448677624,0.10818755249087,0.0531677562266253,0.0354283963430065,0.0890688469135833,0.0623384060238766,0.18200229865411,0.238450680107924,0.163826796671726,0.161425613057315,0.184371550266739,0.138489954373311,NA,NA,NA,NA,NA,NA,NA,NA,0.0685272680859849,0.0592340046989222,0.0715584342392216,0.0775091572198128,0.0645516989808336,0.108727055708383
CE 15:1;0,CE,STE,STO,15,1,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0355631667175377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
