No,feature,structuralcategory,functionalcategory,class,totallength,totaldb,totaloh,Shorthand Notation,SwissLipids Name,SwissLipids ID,SwissLipids rank,category,Reference (pmol) from report
1,CE 13:0;0,STE,STO,CE,13,0,0,SE 27:1/13:0,tridecanoyl-cholesterol,SLM:000500259,SLM:Isomeric_Subspecies,ST,
2,CE 16:0;0,STE,STO,CE,16,0,0,SE 27:1/16:0,hexadecanoyl-cholesterol,SLM:000389778,SLM:Isomeric_Subspecies,ST,
3,CE 16:1;0,STE,STO,CE,16,1,0,SE 27:1/16:1,Sterol ester (27:1/16:1),SLM:000500345,SLM:Molecular_Subspecies,ST,
4,CE 17:0;0,STE,STO,CE,17,0,0,SE 27:1/17:0,heptadecanoyl-cholesterol,SLM:000500268,SLM:Isomeric_Subspecies,ST,
5,CE 18:0;0,STE,STO,CE,18,0,0,SE 27:1/18:0,octadecanoyl-cholesterol,SLM:000500276,SLM:Isomeric_Subspecies,ST,
6,CE 18:1;0,STE,STO,CE,18,1,0,SE 27:1/18:1,Sterol ester (27:1/18:1),SLM:000500351,SLM:Molecular_Subspecies,ST,
7,CE 18:2;0,STE,STO,CE,18,2,0,SE 27:1/18:2,Sterol ester (27:1/18:2),SLM:000500350,SLM:Molecular_Subspecies,ST,
8,CE 18:3;0,STE,STO,CE,18,3,0,SE 27:1/18:3,Sterol ester (27:1/18:3),SLM:000500349,SLM:Molecular_Subspecies,ST,
9,CE 20:2;0,STE,STO,CE,20,2,0,SE 27:1/20:2,Sterol ester (27:1/20:2),SLM:000500357,SLM:Molecular_Subspecies,ST,
10,CE 20:3;0,STE,STO,CE,20,3,0,SE 27:1/20:3,Sterol ester (27:1/20:3),SLM:000500356,SLM:Molecular_Subspecies,ST,
11,CE 20:4;0,STE,STO,CE,20,4,0,SE 27:1/20:4,Sterol ester (27:1/20:4),SLM:000500355,SLM:Molecular_Subspecies,ST,
12,CE 20:5;0,STE,STO,CE,20,5,0,SE 27:1/20:5,Sterol ester (27:1/20:5),SLM:000500354,SLM:Molecular_Subspecies,ST,
13,CE 22:6;0,STE,STO,CE,22,6,0,SE 27:1/22:6,Sterol ester (27:1/22:6),SLM:000500361,SLM:Molecular_Subspecies,ST,
14,CL 64:4;0,GPL,MEM,CL,64,4,0,CL 64:4,Cardiolipins,,,GP,
15,CL 66:4;0,GPL,MEM,CL,66,4,0,CL 66:4,Cardiolipins,,,GP,
16,CL 68:2;0,GPL,MEM,CL,68,2,0,CL 68:2,Cardiolipins,,,GP,
17,CL 70:5;0,GPL,MEM,CL,70,5,0,CL 70:5,Cardiolipins,,,GP,
18,CL 70:6;0,GPL,MEM,CL,70,6,0,CL 70:6,Cardiolipins,,,GP,
19,CL 70:7;0,GPL,MEM,CL,70,7,0,CL 70:7,Cardiolipins,,,GP,
20,CL 72:5;0,GPL,MEM,CL,72,5,0,CL 72:5,Cardiolipins,,,GP,
21,CL 72:6;0,GPL,MEM,CL,72,6,0,CL 72:6,Cardiolipins,,,GP,
22,CL 72:8;0,GPL,MEM,CL,72,8,0,CL 72:8,Cardiolipins,,,GP,
23,CL 72:9;0,GPL,MEM,CL,72,9,0,CL 72:9,Cardiolipins,,,GP,
24,CL 74:7;0,GPL,MEM,CL,74,7,0,CL 74:7,Cardiolipins,,,GP,
25,CL 74:9;0,GPL,MEM,CL,74,9,0,CL 74:9,Cardiolipins,,,GP,
26,CL 76:10;0,GPL,MEM,CL,76,10,0,CL 76:10,Cardiolipins,,,GP,
27,CL 76:11;0,GPL,MEM,CL,76,11,0,CL 76:11,Cardiolipins,,,GP,
28,CL 76:12;0,GPL,MEM,CL,76,12,0,CL 76:12,Cardiolipins,,,GP,
29,CL 76:8;0,GPL,MEM,CL,76,8,0,CL 76:8,Cardiolipins,,,GP,
30,Cer 32:0;2,SL,MEM,Cer,32,0,2,Cer 32:0;O2,Ceramide (d32:0),SLM:000391219,SLM:Species,SP,
31,Cer 32:1;2,SL,MEM,Cer,32,1,2,Cer 32:1;O2,Ceramide (d32:1),SLM:000391217,SLM:Species,SP,
32,Cer 34:0;2,SL,MEM,Cer,34,0,2,Cer 34:0;O2,Ceramide (d34:0),SLM:000391238,SLM:Species,SP,
33,Cer 34:0;3,SL,MEM,Cer,34,0,3,Cer 34:0;O3,Ceramide (t34:0),SLM:000391253,SLM:Species,SP,
34,Cer 34:0;4,SL,MEM,Cer,34,0,4,Cer 34:0;O4,Ceramide (q34:0),,,SP,
35,Cer 34:1;2,SL,MEM,Cer,34,1,2,Cer 34:1;O2,Ceramide (d34:1),SLM:000391236,SLM:Species,SP,
36,Cer 34:1;3,SL,MEM,Cer,34,1,3,Cer 34:1;O3,Ceramide (t34:1),SLM:000391250,SLM:Species,SP,
37,Cer 34:2;2,SL,MEM,Cer,34,2,2,Cer 34:2;O2,Ceramide (d34:2),SLM:000391234,SLM:Species,SP,
38,Cer 36:0;2,SL,MEM,Cer,36,0,2,Cer 36:0;O2,Ceramide (d36:0),SLM:000391263,SLM:Species,SP,
39,Cer 36:0;3,SL,MEM,Cer,36,0,3,Cer 36:0;O3,Ceramide (t36:0),SLM:000391280,SLM:Species,SP,
40,Cer 36:1;2,SL,MEM,Cer,36,1,2,Cer 36:1;O2,Ceramide (d36:1),SLM:000391261,SLM:Species,SP,
41,Cer 36:2;2,SL,MEM,Cer,36,2,2,Cer 36:2;O2,Ceramide (d36:2),SLM:000391259,SLM:Species,SP,
42,Cer 36:2;4,SL,MEM,Cer,36,2,4,Cer 36:2;O4,Ceramide (q36:2),,,SP,
43,Cer 38:0;2,SL,MEM,Cer,38,0,2,Cer 38:0;O2,Ceramide (d38:0),SLM:000391292,SLM:Species,SP,
44,Cer 38:0;3,SL,MEM,Cer,38,0,3,Cer 38:0;O3,Ceramide (t38:0),SLM:000391309,SLM:Species,SP,
45,Cer 38:1;2,SL,MEM,Cer,38,1,2,Cer 38:1;O2,Ceramide (d38:1),SLM:000391289,SLM:Species,SP,
46,Cer 38:2;2,SL,MEM,Cer,38,2,2,Cer 38:2;O2,Ceramide (d38:2),SLM:000391287,SLM:Species,SP,
47,Cer 38:2;4,SL,MEM,Cer,38,2,4,Cer 38:2;O4,Ceramide (q38:2),,,SP,
48,Cer 40:0;2,SL,MEM,Cer,40,0,2,Cer 40:0;O2,Ceramide (d40:0),SLM:000391322,SLM:Species,SP,
49,Cer 40:0;3,SL,MEM,Cer,40,0,3,Cer 40:0;O3,Ceramide (t40:0),SLM:000391338,SLM:Species,SP,
50,Cer 40:0;4,SL,MEM,Cer,40,0,4,Cer 40:0;O4,Ceramide (q40:0),,,SP,
51,Cer 40:1;2,SL,MEM,Cer,40,1,2,Cer 40:1;O2,Ceramide (d40:1),SLM:000391319,SLM:Species,SP,
52,Cer 40:1;3,SL,MEM,Cer,40,1,3,Cer 40:1;O3,Ceramide (t40:1),SLM:000391335,SLM:Species,SP,
53,Cer 40:2;2,SL,MEM,Cer,40,2,2,Cer 40:2;O2,Ceramide (d40:2),SLM:000391317,SLM:Species,SP,
54,Cer 42:0;2,SL,MEM,Cer,42,0,2,Cer 42:0;O2,Ceramide (d42:0),SLM:000391349,SLM:Species,SP,
55,Cer 42:0;3,SL,MEM,Cer,42,0,3,Cer 42:0;O3,Ceramide (t42:0),SLM:000391365,SLM:Species,SP,
56,Cer 42:0;4,SL,MEM,Cer,42,0,4,Cer 42:0;O4,Ceramide (q42:0),,,SP,
57,Cer 42:1;2,SL,MEM,Cer,42,1,2,Cer 42:1;O2,Ceramide (d42:1),SLM:000391346,SLM:Species,SP,
58,Cer 42:1;3,SL,MEM,Cer,42,1,3,Cer 42:1;O3,Ceramide (t42:1),SLM:000391362,SLM:Species,SP,
59,Cer 42:1;4,SL,MEM,Cer,42,1,4,Cer 42:1;O4,Ceramide (q42:1),,,SP,
60,Cer 42:2;2,SL,MEM,Cer,42,2,2,Cer 42:2;O2,Ceramide (d42:2),SLM:000391345,SLM:Species,SP,
61,Cer 42:2;3,SL,MEM,Cer,42,2,3,Cer 42:2;O3,Ceramide (t42:2),SLM:000391359,SLM:Species,SP,
62,Cer 44:0;2,SL,MEM,Cer,44,0,2,Cer 44:0;O2,Ceramide (d44:0),SLM:000391375,SLM:Species,SP,
63,Cer 44:1;2,SL,MEM,Cer,44,1,2,Cer 44:1;O2,Ceramide (d44:1),SLM:000391372,SLM:Species,SP,
64,Cer 44:2;2,SL,MEM,Cer,44,2,2,Cer 44:2;O2,Ceramide (d44:2),SLM:000391371,SLM:Species,SP,
65,DAG 12:0;0_18:0;0,GL,MEM,DAG,30,0,0,DG 12:0_18:0,Diacylglycerol (12:0_18:0),SLM:000308686,SLM:Molecular_Subspecies,GL,
66,DAG 12:0;0_18:1;0,GL,MEM,DAG,30,1,0,DG 12:0_18:1,Diacylglycerol (12:0_18:1),SLM:000308687,SLM:Molecular_Subspecies,GL,
67,DAG 14:0;0_16:0;0,GL,MEM,DAG,30,0,0,DG 14:0_16:0,Diacylglycerol (14:0_16:0),SLM:000308755,SLM:Molecular_Subspecies,GL,
68,DAG 14:0;0_16:1;0,GL,MEM,DAG,30,1,0,DG 14:0_16:1,Diacylglycerol (14:0_16:1),SLM:000308756,SLM:Molecular_Subspecies,GL,
69,DAG 14:0;0_17:0;0,GL,MEM,DAG,31,0,0,DG 14:0_17:0,Diacylglycerol (14:0_17:0),SLM:000308758,SLM:Molecular_Subspecies,GL,
70,DAG 14:0;0_18:0;0,GL,MEM,DAG,32,0,0,DG 14:0_18:0,Diacylglycerol (14:0_18:0),SLM:000308759,SLM:Molecular_Subspecies,GL,
71,DAG 14:0;0_18:1;0,GL,MEM,DAG,32,1,0,DG 14:0_18:1,Diacylglycerol (14:0_18:1),SLM:000308760,SLM:Molecular_Subspecies,GL,
72,DAG 14:0;0_18:2;0,GL,MEM,DAG,32,2,0,DG 14:0_18:2,Diacylglycerol (14:0_18:2),SLM:000308761,SLM:Molecular_Subspecies,GL,
73,DAG 14:0;0_18:3;0,GL,MEM,DAG,32,3,0,DG 14:0_18:3,Diacylglycerol (14:0_18:3),SLM:000308762,SLM:Molecular_Subspecies,GL,
74,DAG 14:0;0_20:1;0,GL,MEM,DAG,34,1,0,DG 14:0_20:1,Diacylglycerol (14:0_20:1),SLM:000308766,SLM:Molecular_Subspecies,GL,
75,DAG 14:0;0_20:3;0,GL,MEM,DAG,34,3,0,DG 14:0_20:3,Diacylglycerol (14:0_20:3),SLM:000308768,SLM:Molecular_Subspecies,GL,
76,DAG 14:0;0_20:4;0,GL,MEM,DAG,34,4,0,DG 14:0_20:4,Diacylglycerol (14:0_20:4),SLM:000308769,SLM:Molecular_Subspecies,GL,
77,DAG 14:0;0_22:6;0,GL,MEM,DAG,36,6,0,DG 14:0_22:6,Diacylglycerol (14:0_22:6),SLM:000308778,SLM:Molecular_Subspecies,GL,
78,DAG 14:1;0_18:2;0,GL,MEM,DAG,32,3,0,DG 14:1_18:2,Diacylglycerol (14:1_18:2),SLM:000308796,SLM:Molecular_Subspecies,GL,
