,feature,class,86,94,110,112,117,Control,73,76,89,93,195,196,iKO,iKO vs. CON,iKO vs. CON,63,80,83,108,116,G519R,G519R vs. CON,G519R vs. CON,248,249,255,257,Lrig1-D3,Lrig-D3 vs. CON,Lrig-D3 vs. CON,ALI,Lipid,
,,,VilERT-G519R-86,VilERT-G519R-94,VilERT-G519R-110,VilERT-G519R-112,VilERT-G519R-117,,VilERT-M5B-73,VilERT-M5B-76,VilERT-G519R-89,VilERT-G519R-93,Lrig-M5B-195,Lrig-M5B-196,,,,VilERT-G519R-63,VilERT-G519R-80,VilERT-G519R-83,VilERT-G519R-108,VilERT-G519R-116,,,,Lrig1-M5B-248,Lrig1-M5B-249,Lrig1-M5B-255,Lrig1-M5B-257,,,,H655ALI,H655Lipid,H655
No.,feature,class,Control,Control,Control,Control,Control,Average,iKO,iKO,iKO,iKO,iKO,iKO,Average,"Fold change (log, base 2)",P-value,G519R,G519R,G519R,G519R,G519R,Average,"Fold change (log, base 2)",P-value,Lrig1-D3,Lrig1-D3,Lrig1-D3,Lrig1-D3,Average,"Fold change (log, base 2)",P-value,DGAT-ALI,DGAT-Lipid,"Fold change (log, base 2)"
1,CE 13:0;0,CE,,,,,,0,,,,,,,0,NA,NA,,,,,0.024178232,0.024178232,Up,Up,,,,,0,NA,NA,,,
2,CE 16:0;0,CE,0.130368295,0.244694483,0.200021421,0.055267252,0.052937046,0.136657699,0.172252426,0.110379738,0.043187353,0.045955648,0.219708347,0.204925399,0.132734819,0.0,0.94,0.067183704,,,,0.023059829,0.045121766,-1.6,0.22,0.179726274,0.044096307,0.292144823,0.127074474,0.160760469,0.2,0.71,0.08063283,0.060775317,-0.4
3,CE 16:1;0,CE,0.016439773,0.032910669,0.027387085,,,0.025579176,0.021642614,0.014806857,,,0.026832786,0.025130727,0.022103246,-0.2,0.53,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,0.02492041,,0.024891381,0.02417817,0.02466332,-0.1,0.86,0.044910777,0.032117644,-0.5
4,CE 17:0;0,CE,,0.025464573,,,,0.025464573,,,,,,,0,NA,NA,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,
5,CE 18:0;0,CE,0.042995368,0.098864331,0.061766097,0.020580296,0.024472019,0.049735622,0.070555522,0.047518885,0.023084685,0.02022159,0.084458451,0.102945818,0.058130825,0.2,0.68,0.036158287,,,,0.027643743,0.031901015,-0.6,0.49,0.063587089,0.018803838,0.088087023,0.059227422,0.057426343,0.2,0.72,,,
6,CE 18:1;0,CE,0.212383004,0.212075025,0.309345615,0.167489718,0.13396328,0.207051328,0.217341695,0.18850456,0.076632544,0.098245606,0.253938639,0.279575212,0.185706376,-0.2,0.65,0.126602334,0.057883634,0.05972849,0.084189832,0.111436868,0.087968232,-1.2,0.01,0.305486609,0.121270028,0.286464346,0.142922158,0.214035785,0.0,0.90,0.246940677,0.136652593,-0.9
7,CE 18:2;0,CE,0.275229369,0.312361975,0.385221708,0.158623076,0.144065286,0.255100283,0.211759719,0.170231102,0.064468268,0.088078598,0.213995254,0.247752136,0.166047513,-0.6,0.13,0.093598319,0.044468116,0.077604946,0.053012614,0.065601477,0.066857094,-1.9,0.00,0.429712596,0.134295388,0.434563686,0.19817285,0.29918613,0.2,0.62,0.069313414,0.047582988,-0.5
8,CE 18:3;0,CE,0.017178301,0.022795535,0.034491304,,0.017039443,0.022876146,0.016333071,0.022484874,,,,0.017165119,0.018661021,-0.3,0.45,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,0.034269866,,0.038082198,,0.036176032,0.7,0.10,,,
9,CE 20:2;0,CE,,,,,,0,,,,,,,0,NA,NA,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,0.028289991,0.019322191,,,0.023806091,#DIV/0!,#DIV/0!,,,
10,CE 20:3;0,CE,,,,,,0,,,,,,,0,NA,NA,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,0.054508822,,
12,CE 20:5;0,CE,,,,,,0,,,,,,,0,NA,NA,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,0.028637261,,
14,CL 64:4;0,CL,,,,,,0,,,,,,,0,NA,NA,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,0.015953237,0.024058788,0.6
15,CL 66:4;0,CL,,,,,,0,,,,,,,0,NA,NA,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,0.072578884,0.091806456,0.3
24,CL 74:7;0,CL,,,,,,0,,,,,,,0,NA,NA,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,0.015540581,,
30,Cer 32:0;2,Cer,,,,,,0,,,,,,,0,NA,NA,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,0.021757339,0.0090585,-1.3
16,CL 68:2;0,CL,,,,0.007683852,0.005546584,0.006615218,0.010203308,0.006476039,,0.011919688,0.010140935,0.015621388,0.010872271,0.7,0.16,,0.01397637,0.017234153,0.018610137,,0.016606887,1.3,0.01,,0.009741415,,0.01360284,0.011672127,0.8,0.15,0.013692891,,
17,CL 70:5;0,CL,0.00905734,,,0.013733157,,0.011395249,0.013177726,,,,,0.012847588,0.013012657,0.2,0.56,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,0.095983934,0.107698517,0.2
