Sample Name,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-B,PosMSMSALL-CAS9-B,PosMSMSALL-CAV_A,PosMSMSALL-CAV_A,PosMSMSALL-CAV_B,PosMSMSALL-CAV_B,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_B,PosMSMSALL-CAVIN_B,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-B,PosMSMSALL-CERS5-B,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-B,PosMSMSALL-Flot2-B,PosMSMSALL-RAJU-Blank,PosMSMSALL-RAJU-Blank,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_B,PosMSMSALL-SPTLC_B,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-B,PosMSMSALL-UGCG-B,PosMSMSALL-WT_A,PosMSMSALL-WT_A,PosMSMSALL-WT_B,PosMSMSALL-WT_B
"HexCer 26:3;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",15.2798,0,0,0,0,0,0,27,26.6778,33.9484,0,0,19.0259,30.9731,25.2432,0,0,0,0,0,0,0,0,33.9746,48.6196,26.0234,0,0,0,0,0,0,0,0,33.667,34.9978,0,0,0,0,0,0
HexCer 26:3;2 (LCB 18:0;2-H2O),104.2741,68.5547,27.4255,46.2413,38.6821,0,0,135.7183,17.8012,22.1714,0,0,54.1459,33.6415,27,15.611,15.611,0,172.9974,156.4528,14.3966,17.9558,22.217,37.2569,17.9558,27,0,0,0,0,0,0,0,0,33.3297,40.892,66.5365,60.1488,5.3524,0,7.9197,14.6083
"HexCer 28:4;2 (LCB 18:2;2-2H20,LCB 18:1;3-3H2O)",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HexCer 28:4;2 (LCB 18:0;2-2H2O),36.6491,68.9981,34.8507,79.2316,15.8655,20.2226,40.9976,47.999,54.3553,11.7803,26.9575,0,31.1233,52.4996,16.8524,25.5636,14.1419,12.9073,27,26.9849,35.2612,0,40.3208,0,32.83,17.2061,0,33.027,176,122,38.4473,21.998,32.3979,76.5845,65.2342,49.0388,21.4778,22.4871,0,0,33.9648,0
"HexCer 28:4;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",28.9464,19.3873,0,0,0,0,0,0,0,0,17.3444,0,0,0,0,0,7,0,0,28.8415,0,1.8411,0,0,0,11.7098,0,0,0,27,0,14.8411,0,0,0,20.9216,0,0,0,0,0,0
HexCer 28:4;2 (LCB 18:0;2-H2O),156.5101,110.8826,72.3335,116.823,38.5774,43.2199,158.2446,240.1872,81.5647,93.5642,53.5696,0,60.4744,31.6886,33.9953,27,41,27,118.7529,204.5603,27,27,52.9327,100.569,0,0,0,0,0,27,0,0,42,55,52.6886,66.9948,204.2639,144.5859,0,47,34.8411,68
"HexCer 28:3;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",27.7307,0,0,6.4802,0,13.2673,33.569,0,44.6956,10.019,0,0,26.4856,33.5854,15.8941,0,0,60.569,0,28.032,0,0,15.4655,20.1145,19.5664,0,0,0,0,0,26.6643,0,0,0,0,24.3092,0,40.5719,7,27,27,31.4967
HexCer 28:3;2 (LCB 18:0;2-H2O),75.6166,51.7487,94.8067,50.2291,26.6663,25.1648,95.3511,62.0464,11.5784,7.2872,7.8364,0,5.1114,22.134,0,0,0,0,69.8159,91.9188,0,0,24.8083,0,0,0,0,0,0,0,0,0,0,0,21.6182,41.2751,57.7028,96.377,0,0,0,22.6822
HexCer 28:2;2 (LCB 18:0;2-H2O),67.8349,27.0795,0,31.747,0,0,76.4071,85.4764,21.8217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,34.2353,38.3813,0,0,0,0,0,0
HexCer 30:4;2 (LCB 18:0;2-2H2O),29.7413,46.9222,25.158,14.3016,37.1838,40.9601,0,0,73.6956,32.5638,0,0,49.3458,46.1165,34.5269,71.7985,53.9737,25.48,33.3577,0,24.7925,25.6801,48.7107,57.2398,113.5423,141.1595,20.4996,0,0,0,0,2.1978,11.7302,0,94.3524,76.7065,48.6912,45.4667,0,0,0,0
"HexCer 30:4;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",33.3597,14.6649,31.7675,20.8615,26.9834,28.2927,0,0,78.7015,70.1136,13.2425,0,106.7751,52.282,91.8045,49.6209,0,0,0,0,33.4624,0,45.4221,47.244,89.2217,143.9053,0,0,0,0,34.0712,38.3069,16.733,0,64.5824,77.3134,15.2421,0,0,0,0,14.6409
HexCer 30:4;2 (LCB 18:0;2-H2O),59.1766,80.3671,83.8293,25.5847,0,34.2416,139.671,90.6638,14.0712,56.4658,16.733,27,43.8936,16.733,0,0,0,0,68.8621,66.9112,27,0,0,38.2755,0,0,0,0,0,0,0,0,0,0,49.2425,40.9691,39.0922,47.4229,16.733,0,25.5475,14.0712
HexCer 30:3;2 (LCB 18:0;2-H2O),47.5943,21.9754,28.477,62.5728,0,0,88.6667,119.897,28.1566,34.2436,0,0,9.9241,34.2458,0,0,0,0,86.3551,106.613,0,0,53.6499,26.1233,21.6764,0,0,0,0,0,0,0,0,0,37.4699,33.7237,37.8132,56.4994,0,0,16.6966,21.1566
"HexCer 30:2;2 (LCB 18:2;2-2H20,LCB 18:1;3-3H2O)",6.9951,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HexCer 30:2;2 (LCB 18:0;2-H2O),28.4531,31.9386,0,0,18.3073,0,94.8173,168.1839,0,12.7688,0,0,0,0,0,0,0,0,0,61.7169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.7379,0,0,0,0,0,0,0
"HexCer 28:1;4 (LCB 18:2;2-2H20,LCB 18:1;3-3H2O)",554.2863,639.5357,768.5091,698.3863,257.0618,0,351.8366,348.8975,349.6246,331.6589,0,189.5639,0,0,0,0,0,0,0,281.2854,479.3291,396.9122,436.1156,432.2159,0,354.8161,530.9293,0,0,0,0,0,0,0,301.3611,353.9732,318.0726,366.8458,267.5815,332.6919,208.5761,254.0214
"HexCer 28:1;4 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",4719.37,4678.6734,5420.7682,4307.7211,2872.5455,0,2445.5181,2399.3896,3501.1931,3042.3142,0,3537.8393,0,0,0,0,0,0,0,1491.2273,3236.5176,3260.5781,3329.7766,3155.7536,0,2743.0609,3360.3988,0,0,0,0,0,0,0,2501.2096,2458.1932,2583.0666,2372.6274,5157.858,5012.6314,5165.5015,4605.9098
HexCer 28:1;4 (LCB 18:0;2-2H2O),22.5247,25.8274,12.2303,0,11.1872,0,0,0,0,0,0,27,0,0,0,0,0,0,0,27,0,0,16.3835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.6205,54,0,27,0
