Sample Name,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-B,PosMSMSALL-CAS9-B,PosMSMSALL-CAV_A,PosMSMSALL-CAV_A,PosMSMSALL-CAV_B,PosMSMSALL-CAV_B,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_B,PosMSMSALL-CAVIN_B,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-B,PosMSMSALL-CERS5-B,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-B,PosMSMSALL-Flot2-B,PosMSMSALL-RAJU-Blank,PosMSMSALL-RAJU-Blank,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_B,PosMSMSALL-SPTLC_B,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-B,PosMSMSALL-UGCG-B,PosMSMSALL-WT_A,PosMSMSALL-WT_A,PosMSMSALL-WT_B,PosMSMSALL-WT_B
SGalCer 25:4;2 (LCB 17:0;2-2H2O),261,254.8771,242.7236,270,162.9521,174.9645,120,150,186,191.7668,204,237.6869,108,0,0,0,0,0,117.9017,110.9077,243,164,191.7668,204,171.7744,150.7184,148,0,0,0,0,0,0,0,184.4537,155,147,160,318.3003,284.6869,290.6869,237.0382
SGalCer 25:3;2 (LCB 17:0;2-2H2O),104.8858,110.5686,164.5512,64.5025,0,0,43.5567,47.9458,84.4128,81.3187,0,0,72.401,0,0,0,0,0,67.879,42.9541,143.6523,156.7941,115.1322,105.6463,125.3205,128.0231,0,0,0,0,0,0,0,0,149.3886,136.1774,100.4069,110.7553,62.896,120.3777,80.4555,66.7368
SGalCer 26:1;2 (LCB 18:0;2-H2O),17.8959,45.5403,0,7.936,0,0,42.0651,34.9205,17.992,0,0,0,24,0,0,0,0,0,20.6599,57.2737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.936,0,42.7479,24.5439,0,0,0,0
"SGalCer 27:4;2 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",3.182,15.6747,9.8038,0.4416,0,0,0,0,21.1136,0,12.552,21.1748,16.1173,12.3105,25.4989,11.3248,10.1623,21.8542,26.1259,16.4416,0,21.0313,9.1305,0,14.7151,0,0,0,0,0,0,17.5135,26.8607,0,0,0,0,0,0,8.6612,16.7499,0
"SGalCer 27:4;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",13.8211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.159,0,6.3114,0,0,0,0,0,0,0,0,0,6.2734,9.0093,0,0,0,0,0,0
SGalCer 27:4;2 (LCB 17:0;2-2H2O),7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
"SGalCer 27:4;2 (LCB 18:2;2-2H20,LCB 18:1;3-3H2O)",41.7737,32.1559,53.0551,27.1004,16.5763,28.7808,17.441,26.9607,38.0039,11.8454,31.1623,14.1401,28.9638,45.7024,30.7024,44.6142,76.2646,51.5685,33.052,23.0488,45.5171,38.9726,44.4077,33.468,38.9213,14.0945,0,0,0,0,0,0,0,0,33.441,29.2252,38.0945,49.6567,41.9721,41.3247,21.2266,33.5435
"SGalCer 27:4;2 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",237.132,237.0725,308.1122,293.9762,65.6062,70.7582,49.8407,68.3518,193.8647,179.145,201.234,247.9043,149.8452,123.0789,112.1416,123.3183,134.2478,82.9608,89.6036,89.6303,288.0617,242.1521,241.3639,235.2995,118.1041,184.8833,0,0,0,0,0,0,0,0,146.9607,110.1339,164.3953,167.0488,672.7833,695.8635,596.9779,584.5736
"SGalCer 27:4;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",31.526,32.2673,51.4678,31.2712,20.0982,27.5446,25.7154,25.1588,53.9578,26.6373,39.0166,36.7185,28.123,15.7814,11.3953,24.5237,35,0,33.6289,27.8213,63.2096,42,49.2226,31.6697,12.2041,0.9699,0,0,0,0,0,0,0,0,31.1236,22.8679,30.1297,47.0665,84,120,86.1608,93.6734
SGalCer 26:1;3 (LCB 18:0;2-2H2O),1.7115,6.7571,68,48,17.7558,1.2591,0,0,18.0566,11.1906,19,34,13.1613,23.9189,18.3716,17.72,26,27,32,41,18.0569,38,18.1779,26.4963,20.9881,0,25,36,0,41,29.7986,0,38.3079,0,12.9995,21.2708,36,22,23,0,0,0
SGalCer 26:0;3 (LCB 17:0;2-2H2O),6.3053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SGalCer 28:4;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",10.4378,0,0,0,0,0,17.4378,0,0,0,0,0,0,0,23.1384,21.988,0,0,0,0,0,0,11.7666,0,0,0,7,0,0,0,0,0,9.7622,22,30.2197,24.8338,0,0,0,0,0,0
"SGalCer 28:4;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",21.9765,56.4992,56.7303,54,88.5458,130.6745,35.934,43.5228,92.8972,100.9906,52,43,53.7026,50.6159,89.9437,77.4424,94,50,157,211.2646,61,34,50.189,51.9735,41.3497,51.3368,53.9575,61,0,0,22,0,40.7157,25.4378,31.1539,49.5157,25,0,55,54,91.9887,90.3496
