Sample Name,CAS9,CAV,CAVIN
SM 28:4;2 (LCB 18:0;2-2H2O),0.0,-4.130720076758576,-4.537609801292256
"SM 28:4;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0.0,-1.354805138763328,-1.354805138763328
SM 28:4;2 (LCB 18:0;2-H2O),0.0,0.9892712510161965,-1.0
"SM 32:4;2 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",0.0,0.6339898774229306,-1.716450643611807
SM 32:4;2 (LCB 18:0;2-H2O),0.0,-1.4407963655307061,-1.4407963655307061
"SM 32:1;2 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",0.0,-0.11409155628969704,1.5960065589524246
"SM 32:1;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0.0,-1.0,-1.0
SM 32:1;2 (SM),0.0,5.185081650460046,7.9522034414822445
SM 32:4;3 (SM),0.0,-0.6671026619094408,-1.5307351875180264
"SM 32:3;3 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0.0,0.5038745178389193,-0.5451981892607908
SM 32:3;3 (SM),0.0,-0.25705822683680196,0.6874881829267039
"SM 32:2;3 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0.0,1.851081885193222,-1.0
SM 32:2;3 (SM),0.0,-0.7917392898434106,-1.0101882624886858
"SM 34:2;2 (LCB 18:2;2-2H20,LCB 18:1;3-3H2O)",0.0,-0.6654321139240454,-1.6829364235450073
SM 34:2;2 (SM),0.0,-11.377740177589688,0.47253624017213997
"SM 34:1;2 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",0.0,27.7926162864742,4.447639406834942
SM 34:1;2 (LCB 18:0;2-H2O),0.0,1.0,1.0
SM 34:1;2 (SM),0.0,1.833950548383551,1.5634701066576882
SM 34:0;2 (SM),0.0,-0.8969419625038448,1.9792591249406595
SM 32:1;4 (LCB 18:0;2-H2O),0.0,1.2395251472701434,-3.157046593223614
"SM 34:2;3 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0.0,-0.4036032753599662,-0.1600352986891668
SM 34:2;3 (SM),0.0,0.7357795483608454,0.685184541257427
SM 34:1;3 (LCB 18:0;2-2H2O),0.0,-1.0005397451972924,-0.6347473260667792
"SM 34:0;3 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0.0,-1.0,-1.0
SM 36:1;2 (SM),0.0,3.156911677206604,8.029900320319406
SM 36:0;2 (SM),0.0,1.1186773813752109,0.8329395392975902
SM 34:1;4 (LCB 18:0;2-2H2O),0.0,-1.732049736517901,0.4157083921821237
SM 34:1;4 (LCB 18:0;2-H2O),0.0,0.9151185089571838,-1.0
SM 34:1;4 (SM),0.0,-1.8060741149033832,-2.1368348437163562
SM 36:2;3 (LCB 18:0;2-2H2O),0.0,2.7186976098507145,2.796936018273256
SM 36:1;3 (LCB 18:0;2-2H2O),0.0,-2.219912938776713,-2.3663589151633437
SM 38:4;2 (LCB 18:0;2-H2O),0.0,5.252763519588497,-2.0093558910385934
SM 38:4;2 (SM),0.0,4.080016069656339,2.0244013836771138
SM 38:2;2 (SM),0.0,0.4508779357585515,0.9137848280326257
SM 38:1;2 (LCB 18:0;2-H2O),0.0,0.5101038221754481,-1.3877391193132327
SM 38:1;2 (SM),0.0,-3.4499438360653625,-5.184124472562977
"SM 36:2;4 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0.0,-0.6278519156945231,-0.854747168678046
SM 38:0;2 (SM),0.0,0.6868891775410795,-0.09383152924310036
SM 38:3;3 (LCB 18:0;2-2H2O),0.0,-1.0,1.5033837738392664
SM 38:3;3 (SM),0.0,-3.226400377425035,-4.439575805444662
SM 40:4;2 (SM),0.0,4.674617984720198,1.9103996467899045
SM 40:3;2 (LCB 18:0;2-2H2O),0.0,-0.9253985045390148,-1.4490389336659228
SM 40:3;2 (SM),0.0,-2.1237571768439434,-2.1237571768439434
SM 40:2;2 (SM),0.0,-2.1390399415470225,-1.1986114966894172
SM 40:1;2 (SM),0.0,-5.565529103469967,-1.132306966298361
SM 40:0;2 (SM),0.0,-5.479037142683051,-5.479037142683051
SM 38:1;4 (LCB 18:0;2-2H2O),0.0,-0.597377594036619,-3.1072700318356667
SM 38:1;4 (SM),0.0,1.0,0.0
"SM 38:0;4 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0.0,-1.6607969349009528,-0.8725568511481123
"SM 40:3;3 (LCB 18:2;2-2H20,LCB 18:1;3-3H2O)",0.0,2.4660915374649264,1.0090028342973527
SM 40:3;3 (SM),0.0,1.8803732956642367,2.2283189819619005
SM 42:4;2 (LCB 18:0;2-2H2O),0.0,-1.3178250018571356,-1.8081131046772303
SM 42:3;2 (LCB 18:0;2-2H2O),0.0,-1.0,-1.0
SM 42:3;2 (SM),0.0,5.118173228014976,2.8723568322817687
"SM 42:2;2 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",0.0,-0.978073629158689,-0.6892882904037261
SM 42:2;2 (SM),0.0,1.7217335399263822,4.035400781196451
SM 42:1;2 (LCB 18:0;2-2H2O),0.0,-1.0,0.9941449627826153
"SM 42:1;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0.0,-1.54968942725308,-0.34890360341329124
SM 42:1;2 (SM),0.0,-2.7541758191998604,-0.045778908776681254
SM 42:0;2 (SM),0.0,-13.40989101867769,-5.020680841585295
SM 40:1;4 (SM),0.0,-1.0,-1.0
SM 40:0;4 (SM),0.0,2.5433116344706668,2.1700515561247777
SM 42:2;3 (SM),0.0,-2.6267311388741366,-0.33654403077588285
SM 42:1;3 (SM),0.0,-0.3807248557278463,-0.4782812686447186
SM 42:0;3 (SM),0.0,-0.38918225666124473,-0.21018281708992456
"SM 44:4;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0.0,-0.9999999999999998,0.4257343109785803
SM 42:1;4 (LCB 18:0;2-2H2O),0.0,-9.449176165643829,-1.4755512735544187
SM 42:1;4 (SM),0.0,-1.2052709912285569,-0.660172282994893
SM 42:0;4 (LCB 18:0;2-2H2O),0.0,-1.6434066662845759,0.4619507131349355
SM 46:0;2 (SM),0.0,-1.620717787556647,-1.620717787556647
